 ,vgg19,resnet50,densenet201
GPU allocate,10,10,10
Batchsize,1,1,1
Throughput,34.69441833557024,52.632520719938086,20.79937338267851
Latency,28.82405759175462,19.00063748073119,48.07934893244723
 
 ,vgg19,resnet50,densenet201
GPU allocate,10,10,10
Batchsize,1,1,8
Throughput,34.137608030836475,52.16626889405413,65.0268090083486
Latency,29.29418391167921,19.170452695930397,123.03400102215029
 
 ,vgg19,resnet50,densenet201
GPU allocate,10,10,10
Batchsize,1,1,16
Throughput,33.99906882457149,52.04920082359277,78.01627301107732
Latency,29.413547697566035,19.213568314282956,205.10105776904794
 
 ,vgg19,resnet50,densenet201
GPU allocate,10,10,10
Batchsize,1,8,1
Throughput,33.979037674968055,139.79332023352248,20.605449812946954
Latency,29.430886846496477,57.2351605896805,48.53182774307802
 
 ,vgg19,resnet50,densenet201
GPU allocate,10,10,10
Batchsize,1,8,8
Throughput,33.43772681324484,138.5028089636594,64.38018481481244
Latency,29.907316649944807,57.76838102757017,124.26965614726751
 
 ,vgg19,resnet50,densenet201
GPU allocate,10,10,10
Batchsize,1,8,16
Throughput,33.30301808408599,138.1789218564645,77.22798839492694
Latency,30.028286014842422,57.903769992020074,207.19441386646034
 
 ,vgg19,resnet50,densenet201
GPU allocate,10,10,10
Batchsize,1,16,1
Throughput,34.05482689815222,134.48460422008137,20.626206158581986
Latency,29.365390405188258,118.9883655025366,48.48299069108668
 
 ,vgg19,resnet50,densenet201
GPU allocate,10,10,10
Batchsize,1,16,8
Throughput,33.5118842013196,133.23171122592055,64.44935874234166
Latency,29.84113785831717,120.10716893017387,124.13628508755198
 
 ,vgg19,resnet50,densenet201
GPU allocate,10,10,10
Batchsize,1,16,16
Throughput,33.3767721339477,132.91730045853765,77.3123051988601
Latency,29.96193341478028,120.39124082950923,206.96846468448211
 
 ,vgg19,resnet50,densenet201
GPU allocate,10,10,10
Batchsize,8,1,1
Throughput,66.37000245087219,52.32864883809051,20.686274953666935
Latency,120.54420210706925,19.110968295205012,48.342208644781365
 
 ,vgg19,resnet50,densenet201
GPU allocate,10,10,10
Batchsize,8,1,8
Throughput,65.2866490930517,51.86406919786181,64.65830161921248
Latency,122.54435828759335,19.28214870597566,123.7351647669832
 
 ,vgg19,resnet50,densenet201
GPU allocate,10,10,10
Batchsize,8,1,16
Throughput,65.01718689096023,51.74742027416305,77.56953654168817
Latency,123.05220809040013,19.325612280820838,206.28218040902922
 
 ,vgg19,resnet50,densenet201
GPU allocate,10,10,10
Batchsize,8,8,1
Throughput,64.97612764977146,138.95886652534617,20.492987347453894
Latency,123.12996140388923,57.57881312558295,48.79815782875003
 
 ,vgg19,resnet50,densenet201
GPU allocate,10,10,10
Batchsize,8,8,8
Throughput,63.92367286494309,137.6734672341833,64.0141167171853
Latency,125.1570740745789,58.11632929125565,124.98025400336492
 
 ,vgg19,resnet50,densenet201
GPU allocate,10,10,10
Batchsize,8,8,16
Throughput,63.66184321349492,137.35086068797457,76.78432485235196
Latency,125.67179033183001,58.2528132238004,208.3915028460059
 
 ,vgg19,resnet50,densenet201
GPU allocate,10,10,10
Batchsize,8,16,1
Throughput,65.12375000109543,133.67620590701858,20.513675703657622
Latency,122.85086844521499,119.70784546183135,48.748945124800585
 
 ,vgg19,resnet50,densenet201
GPU allocate,10,10,10
Batchsize,8,16,8
Throughput,64.0680436757958,132.4283971210895,64.08303006008626
Latency,124.87506297662362,120.83564727576885,124.8458616655709
 
 ,vgg19,resnet50,densenet201
GPU allocate,10,10,10
Batchsize,8,16,16
Throughput,63.80541072110801,132.11525975129598,76.86831344518134
Latency,125.38903589352115,121.12201282957182,208.16382521426485
 
 ,vgg19,resnet50,densenet201
GPU allocate,10,10,10
Batchsize,16,1,1
Throughput,71.54654383434917,52.27991597283784,20.668129901383097
Latency,223.64628783409736,19.12878172491866,48.384648583546856
 
 ,vgg19,resnet50,densenet201
GPU allocate,10,10,10
Batchsize,16,1,8
Throughput,70.3758143031239,51.81560423208074,64.59919393391466
Latency,227.3664722035482,19.300183066836034,123.84837418235449
 
 ,vgg19,resnet50,densenet201
GPU allocate,10,10,10
Batchsize,16,1,16
Throughput,70.08463248650858,51.69902245989432,77.49788553452514
Latency,228.31105058247522,19.343702953383527,206.47288503683313
 
 ,vgg19,resnet50,densenet201
GPU allocate,10,10,10
Batchsize,16,8,1
Throughput,70.03994794319192,138.82506935289567,20.474944235835494
Latency,228.4566999796441,57.63429904163492,48.84115931202704
 
 ,vgg19,resnet50,densenet201
GPU allocate,10,10,10
Batchsize,16,8,8
Throughput,68.90272567788057,137.54048879568182,63.955399885840535
Latency,232.22706258854518,58.17251041250377,125.09498998132098
 
 ,vgg19,resnet50,densenet201
GPU allocate,10,10,10
Batchsize,16,8,16
Throughput,68.61982023995431,137.21808734532837,76.71316618011163
Latency,233.18442263663212,58.309171555567175,208.58479104563506
 
 ,vgg19,resnet50,densenet201
GPU allocate,10,10,10
Batchsize,16,16,1
Throughput,70.19950076016397,133.54659322342232,20.495621693754128
Latency,227.93748809988446,119.82401186993862,48.79188582229415
 
 ,vgg19,resnet50,densenet201
GPU allocate,10,10,10
Batchsize,16,16,8
Throughput,69.05875268197701,132.29959865867082,64.02427147440059
Latency,231.70241869780207,120.95326993991881,124.96043238415122
 
 ,vgg19,resnet50,densenet201
GPU allocate,10,10,10
Batchsize,16,16,16
Throughput,68.77497624012734,131.98666522121172,76.79710218769834
Latency,232.65839503517367,121.24000669790426,208.35683372163635
 
 ,vgg19,resnet50,densenet201
GPU allocate,10,10,25
Batchsize,1,1,1
