ID,Issues Detected,Function Name,Demangled Name,Device Name,Grid Size,Block Size,Cycles [cycle],Duration [usecond],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread]
91,9,bn_fw_tr_1C11_singleread,"void cudnn::detail::bn_fw_tr_1C11_singleread<float, (int)512, (bool)1, (int)1, (int)2, (int)0>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const float *, const float *, float, float, float *, float *, float *, float *, float, float, cudnn::reduced_divisor, int, cudnn::reduced_divisor, cudnn::detail::bnFwPersistentState *, int, float, float, float, int, float, float, cudnnStatus_t *, bool)",NVIDIA GeForce RTX 2080 Ti,"  128,    1,    1","  512,    1,    1","7,851",6.46,27.53,24.29,38
111,9,bn_fw_tr_1C11_singleread,"void cudnn::detail::bn_fw_tr_1C11_singleread<float, (int)512, (bool)1, (int)1, (int)2, (int)0>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const float *, const float *, float, float, float *, float *, float *, float *, float, float, cudnn::reduced_divisor, int, cudnn::reduced_divisor, cudnn::detail::bnFwPersistentState *, int, float, float, float, int, float, float, cudnnStatus_t *, bool)",NVIDIA GeForce RTX 2080 Ti,"  128,    1,    1","  512,    1,    1","7,807",6.62,27.72,24.46,38
81,9,bn_fw_tr_1C11_singleread,"void cudnn::detail::bn_fw_tr_1C11_singleread<float, (int)512, (bool)1, (int)1, (int)2, (int)0>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const float *, const float *, float, float, float *, float *, float *, float *, float, float, cudnn::reduced_divisor, int, cudnn::reduced_divisor, cudnn::detail::bnFwPersistentState *, int, float, float, float, int, float, float, cudnnStatus_t *, bool)",NVIDIA GeForce RTX 2080 Ti,"  128,    1,    1","  512,    1,    1","7,725",6.59,27.99,24.7,38
62,9,bn_fw_tr_1C11_singleread,"void cudnn::detail::bn_fw_tr_1C11_singleread<float, (int)512, (bool)1, (int)1, (int)2, (int)0>(cudnnTensorStruct, const T1 *, cudnnTensorStruct, T1 *, const float *, const float *, float, float, float *, float *, float *, float *, float, float, cudnn::reduced_divisor, int, cudnn::reduced_divisor, cudnn::detail::bnFwPersistentState *, int, float, float, float, int, float, float, cudnnStatus_t *, bool)",NVIDIA GeForce RTX 2080 Ti,"  128,    1,    1","  512,    1,    1","7,723",6.53,28.01,24.7,38
211,13,explicit_convolve_sgemm,"void cudnn::detail::explicit_convolve_sgemm<float, int, (int)128, (int)5, (int)5, (int)3, (int)3, (int)3, (int)0, (bool)1>(int, int, int, const T1 *, int, const T1 *, int, T1 *, kernel_conv_params, int, int, float, float, int, T1 *, T1 *)",NVIDIA GeForce RTX 2080 Ti,"    2,   16,    1","    8,    8,    1","398,048",304.32,8.74,8.07,70
123,13,implicit_convolve_sgemm,"void cudnn::detail::implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)1, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, T1 *, kernel_conv_params, int, float, float, int, T2 *, T2 *, int, int)",NVIDIA GeForce RTX 2080 Ti,"    7,    8,    1","    8,    8,    1","216,276",163.55,17.64,16.39,63
237,13,implicit_convolve_sgemm,"void cudnn::detail::implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)1, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, T1 *, kernel_conv_params, int, float, float, int, T2 *, T2 *, int, int)",NVIDIA GeForce RTX 2080 Ti,"    2,   16,    1","    8,    8,    1","194,009",145.5,9.98,8.19,63
223,13,implicit_convolve_sgemm,"void cudnn::detail::implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)1, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, T1 *, kernel_conv_params, int, float, float, int, T2 *, T2 *, int, int)",NVIDIA GeForce RTX 2080 Ti,"    2,   16,    1","    8,    8,    1","193,867",146.5,9.98,8.19,63
60,13,implicit_convolve_sgemm,"void cudnn::detail::implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)1, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, T1 *, kernel_conv_params, int, float, float, int, T2 *, T2 *, int, int)",NVIDIA GeForce RTX 2080 Ti,"   25,    4,    1","    8,    8,    1","143,897",105.98,23.76,21.61,63
218,14,implicit_convolve_sgemm,"void cudnn::detail::implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)1, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, T1 *, kernel_conv_params, int, float, float, int, T2 *, T2 *, int, int)",NVIDIA GeForce RTX 2080 Ti,"    2,   64,    1","    8,    8,    1","126,975",95.1,30.76,33.37,63
206,13,implicit_convolve_sgemm,"void cudnn::detail::implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)1, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, T1 *, kernel_conv_params, int, float, float, int, T2 *, T2 *, int, int)",NVIDIA GeForce RTX 2080 Ti,"    7,   16,    1","    8,    8,    1","123,391",93.12,27.66,22.5,63
192,13,implicit_convolve_sgemm,"void cudnn::detail::implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)1, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, T1 *, kernel_conv_params, int, float, float, int, T2 *, T2 *, int, int)",NVIDIA GeForce RTX 2080 Ti,"    7,    8,    1","    8,    8,    1","99,069",73.7,17.17,13.81,63
164,13,implicit_convolve_sgemm,"void cudnn::detail::implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)1, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, T1 *, kernel_conv_params, int, float, float, int, T2 *, T2 *, int, int)",NVIDIA GeForce RTX 2080 Ti,"    7,    8,    1","    8,    8,    1","98,346",75.78,17.31,13.92,63
178,13,implicit_convolve_sgemm,"void cudnn::detail::implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)1, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, T1 *, kernel_conv_params, int, float, float, int, T2 *, T2 *, int, int)",NVIDIA GeForce RTX 2080 Ti,"    7,    8,    1","    8,    8,    1","98,180",73.22,17.33,13.93,63
136,13,implicit_convolve_sgemm,"void cudnn::detail::implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)1, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, T1 *, kernel_conv_params, int, float, float, int, T2 *, T2 *, int, int)",NVIDIA GeForce RTX 2080 Ti,"    7,    8,    1","    8,    8,    1","96,748",73.22,17.59,14.14,63
150,13,implicit_convolve_sgemm,"void cudnn::detail::implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)1, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, T1 *, kernel_conv_params, int, float, float, int, T2 *, T2 *, int, int)",NVIDIA GeForce RTX 2080 Ti,"    7,    8,    1","    8,    8,    1","96,565",75.3,17.59,14.15,63
119,12,implicit_convolve_sgemm,"void cudnn::detail::implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)1, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, T1 *, kernel_conv_params, int, float, float, int, T2 *, T2 *, int, int)",NVIDIA GeForce RTX 2080 Ti,"   25,    8,    1","    8,    8,    1","71,090",53.12,43.21,35.13,63
215,13,implicit_convolve_sgemm,"void cudnn::detail::implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)1, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, T1 *, kernel_conv_params, int, float, float, int, T2 *, T2 *, int, int)",NVIDIA GeForce RTX 2080 Ti,"    2,   64,    1","    8,    8,    1","68,734",51.23,28.58,24.19,63
232,13,implicit_convolve_sgemm,"void cudnn::detail::implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)1, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, T1 *, kernel_conv_params, int, float, float, int, T2 *, T2 *, int, int)",NVIDIA GeForce RTX 2080 Ti,"    2,   64,    1","    8,    8,    1","67,721",51.07,29.04,24.52,63
246,13,implicit_convolve_sgemm,"void cudnn::detail::implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)1, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, T1 *, kernel_conv_params, int, float, float, int, T2 *, T2 *, int, int)",NVIDIA GeForce RTX 2080 Ti,"    2,   64,    1","    8,    8,    1","67,257",51.14,29.24,24.68,63
104,13,implicit_convolve_sgemm,"void cudnn::detail::implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)1, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, T1 *, kernel_conv_params, int, float, float, int, T2 *, T2 *, int, int)",NVIDIA GeForce RTX 2080 Ti,"   25,    4,    1","    8,    8,    1","66,720",48.86,22.9,18.48,63
89,13,implicit_convolve_sgemm,"void cudnn::detail::implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)1, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, T1 *, kernel_conv_params, int, float, float, int, T2 *, T2 *, int, int)",NVIDIA GeForce RTX 2080 Ti,"   25,    4,    1","    8,    8,    1","66,506",49.38,23.04,18.58,63
74,13,implicit_convolve_sgemm,"void cudnn::detail::implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)1, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, T1 *, kernel_conv_params, int, float, float, int, T2 *, T2 *, int, int)",NVIDIA GeForce RTX 2080 Ti,"   25,    4,    1","    8,    8,    1","65,561",49.28,23.38,18.9,63
201,10,implicit_convolve_sgemm,"void cudnn::detail::implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)1, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, T1 *, kernel_conv_params, int, float, float, int, T2 *, T2 *, int, int)",NVIDIA GeForce RTX 2080 Ti,"    7,   32,    1","    8,    8,    1","46,365",36.06,37.56,31.45,63
173,10,implicit_convolve_sgemm,"void cudnn::detail::implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)1, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, T1 *, kernel_conv_params, int, float, float, int, T2 *, T2 *, int, int)",NVIDIA GeForce RTX 2080 Ti,"    7,   32,    1","    8,    8,    1","44,163",34.53,39.42,33,63
187,10,implicit_convolve_sgemm,"void cudnn::detail::implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)1, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, T1 *, kernel_conv_params, int, float, float, int, T2 *, T2 *, int, int)",NVIDIA GeForce RTX 2080 Ti,"    7,   32,    1","    8,    8,    1","44,133",34.72,39.48,33.05,63
127,10,implicit_convolve_sgemm,"void cudnn::detail::implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)1, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, T1 *, kernel_conv_params, int, float, float, int, T2 *, T2 *, int, int)",NVIDIA GeForce RTX 2080 Ti,"    7,   32,    1","    8,    8,    1","43,881",33.73,39.67,33.22,63
159,10,implicit_convolve_sgemm,"void cudnn::detail::implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)1, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, T1 *, kernel_conv_params, int, float, float, int, T2 *, T2 *, int, int)",NVIDIA GeForce RTX 2080 Ti,"    7,   32,    1","    8,    8,    1","43,716",34.27,39.82,33.36,63
145,10,implicit_convolve_sgemm,"void cudnn::detail::implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)1, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, T1 *, kernel_conv_params, int, float, float, int, T2 *, T2 *, int, int)",NVIDIA GeForce RTX 2080 Ti,"    7,   32,    1","    8,    8,    1","43,511",34.08,39.99,33.52,63
40,11,implicit_convolve_sgemm,"void cudnn::detail::implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)1, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, T1 *, kernel_conv_params, int, float, float, int, T2 *, T2 *, int, int)",NVIDIA GeForce RTX 2080 Ti,"   98,    2,    1","    8,    8,    1","39,677",29.98,38.66,31.57,63
25,11,implicit_convolve_sgemm,"void cudnn::detail::implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)1, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, T1 *, kernel_conv_params, int, float, float, int, T2 *, T2 *, int, int)",NVIDIA GeForce RTX 2080 Ti,"   98,    2,    1","    8,    8,    1","39,052",31.14,39.06,31.9,63
6,11,implicit_convolve_sgemm,"void cudnn::detail::implicit_convolve_sgemm<float, float, (int)1024, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)1, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, T1 *, kernel_conv_params, int, float, float, int, T2 *, T2 *, int, int)",NVIDIA GeForce RTX 2080 Ti,"   98,    2,    1","    8,    8,    1","15,656",12.83,25.52,28.84,63
227,10,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",NVIDIA GeForce RTX 2080 Ti,"   16,  128,    1","   32,    4,    1","76,771",57.5,14.22,69.73,62
241,10,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",NVIDIA GeForce RTX 2080 Ti,"   16,  128,    1","   32,    4,    1","68,281",56.64,16.25,69.28,62
196,11,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",NVIDIA GeForce RTX 2080 Ti,"    8,   64,    1","   32,    4,    1","18,248",14.78,15.04,64.58,62
154,11,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",NVIDIA GeForce RTX 2080 Ti,"    8,   64,    1","   32,    4,    1","17,316",11.68,15.83,42.44,62
140,11,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",NVIDIA GeForce RTX 2080 Ti,"    8,   64,    1","   32,    4,    1","12,174",14.88,22.6,59.74,62
168,11,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",NVIDIA GeForce RTX 2080 Ti,"    8,   64,    1","   32,    4,    1","11,907",12.26,23.12,98.31,62
182,13,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",NVIDIA GeForce RTX 2080 Ti,"    8,   64,    1","   32,    4,    1","11,784",14.4,23.35,98.55,62
108,13,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",NVIDIA GeForce RTX 2080 Ti,"    4,   32,    1","   32,    4,    1","5,658",5.02,12.15,23.35,62
78,13,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",NVIDIA GeForce RTX 2080 Ti,"    4,   32,    1","   32,    4,    1","5,514",4.86,12.38,24.37,62
93,13,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",NVIDIA GeForce RTX 2080 Ti,"    4,   32,    1","   32,    4,    1","5,478",4.83,12.46,24.18,62
10,11,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",NVIDIA GeForce RTX 2080 Ti,"    2,   16,    1","   32,    4,    1","3,993",3.55,4.26,8.95,62
29,11,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",NVIDIA GeForce RTX 2080 Ti,"    2,   16,    1","   32,    4,    1","3,896",4.8,4.36,9.37,62
44,13,generateWinogradTilesKernel,"void cudnn::winograd::generateWinogradTilesKernel<(int)0, float, float>(cudnn::winograd::GenerateWinogradTilesParams<T2, T3>)",NVIDIA GeForce RTX 2080 Ti,"    2,   16,    1","   32,    4,    1","3,860",3.49,4.4,9.26,62
252,14,gemv2T_kernel_val,"void gemv2T_kernel_val<int, int, float, float, float, (int)128, (int)16, (int)4, (int)4, (bool)0, cublasGemvParams<cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float>>(T11, T5, T5)",NVIDIA GeForce RTX 2080 Ti,"  125,    1,    1","  128,    1,    1","26,088",22.98,17.43,66.37,52
210,14,im2col4d_kernel,"void im2col4d_kernel<float, int>(im2col4d_params, cudnnConvolutionStruct, cudnnTensor4dStruct, const T1 *, T1 *, int)",NVIDIA GeForce RTX 2080 Ti,"    1,   19,    1","  512,    1,    1","73,662",53.73,1.14,1.92,30
131,13,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,NVIDIA GeForce RTX 2080 Ti,"    2,   16,    1","  128,    1,    1","92,482",69.12,33.73,16.42,128
69,13,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,NVIDIA GeForce RTX 2080 Ti,"    7,    8,    1","  128,    1,    1","54,414",41.28,50.84,25.73,128
56,10,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,NVIDIA GeForce RTX 2080 Ti,"   25,    2,    1","  128,    1,    1","51,314",40.26,48.12,23.7,128
114,11,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,NVIDIA GeForce RTX 2080 Ti,"    7,    8,    1","  128,    1,    1","32,273",24.35,43.32,23.67,128
65,11,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,NVIDIA GeForce RTX 2080 Ti,"    7,    8,    1","  128,    1,    1","32,212",25.15,43.43,23.73,128
84,11,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,NVIDIA GeForce RTX 2080 Ti,"    7,    8,    1","  128,    1,    1","31,958",24.35,43.77,23.92,128
99,11,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,NVIDIA GeForce RTX 2080 Ti,"    7,    8,    1","  128,    1,    1","31,947",25.06,43.81,23.94,128
20,10,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,NVIDIA GeForce RTX 2080 Ti,"   25,    4,    1","  128,    1,    1","31,293",23.97,40.34,26.28,128
35,10,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,NVIDIA GeForce RTX 2080 Ti,"   25,    4,    1","  128,    1,    1","31,257",24.03,40.42,26.34,128
50,10,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,NVIDIA GeForce RTX 2080 Ti,"   25,    4,    1","  128,    1,    1","31,114",23.78,40.6,26.46,128
16,10,volta_scudnn_128x64_relu_interior_nn_v1,volta_scudnn_128x64_relu_interior_nn_v1,NVIDIA GeForce RTX 2080 Ti,"   25,    4,    1","  128,    1,    1","30,892",24.03,40.89,26.64,128
1,10,volta_scudnn_128x64_relu_medium_nn_v1,volta_scudnn_128x64_relu_medium_nn_v1,NVIDIA GeForce RTX 2080 Ti,"   98,    1,    1","  128,    1,    1","59,956",46.05,48.04,25.57,128
242,11,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,NVIDIA GeForce RTX 2080 Ti,"   16,    1,    1","  256,    1,    1","173,798",128.54,19.01,20.6,126
228,11,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,NVIDIA GeForce RTX 2080 Ti,"   16,    1,    1","  256,    1,    1","171,264",138.05,19.24,20.79,126
183,9,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,NVIDIA GeForce RTX 2080 Ti,"    8,    2,    1","  256,    1,    1","92,427",68,17.95,12.23,126
197,9,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,NVIDIA GeForce RTX 2080 Ti,"    8,    2,    1","  256,    1,    1","91,030",67.94,18.25,12.43,126
155,9,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,NVIDIA GeForce RTX 2080 Ti,"    8,    2,    1","  256,    1,    1","90,916",68.13,18.26,15.33,126
141,9,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,NVIDIA GeForce RTX 2080 Ti,"    8,    2,    1","  256,    1,    1","90,849",68.32,18.27,12.45,126
169,9,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,NVIDIA GeForce RTX 2080 Ti,"    8,    2,    1","  256,    1,    1","89,842",72.61,18.44,15.61,126
94,11,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,NVIDIA GeForce RTX 2080 Ti,"    4,    4,    2","  256,    1,    1","52,604",40.32,32.11,23.43,126
79,11,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,NVIDIA GeForce RTX 2080 Ti,"    4,    4,    2","  256,    1,    1","51,929",39.36,32.54,23.74,126
109,11,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,NVIDIA GeForce RTX 2080 Ti,"    4,    4,    2","  256,    1,    1","51,726",39.26,32.65,23.83,126
11,9,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,NVIDIA GeForce RTX 2080 Ti,"    2,    7,    4","  256,    1,    1","35,558",27.39,42.54,35.03,126
30,9,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,NVIDIA GeForce RTX 2080 Ti,"    2,    7,    4","  256,    1,    1","35,051",27.42,43.18,35.56,126
45,9,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,volta_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148t_nt_v1,NVIDIA GeForce RTX 2080 Ti,"    2,    7,    4","  256,    1,    1","34,958",27.23,43.21,35.58,126
