 ,vgg19,resnet50
GPU allocate,10,10
Batchsize,1,1
Throughput,37.40431925152428,61.702524803700676
Latency,26.73585781088956,16.20776969167647
 
 ,vgg19,resnet50
GPU allocate,10,10
Batchsize,1,8
Throughput,36.825516656285274,152.22636749505568
Latency,27.15606150492287,52.561133044829745
 
 ,vgg19,resnet50
GPU allocate,10,10
Batchsize,1,16
Throughput,36.8868040321724,143.4943720438264
Latency,27.11094336885474,111.51827015718624
 
 ,vgg19,resnet50
GPU allocate,10,10
Batchsize,1,32
Throughput,37.089845959387716,112.23554704045586
Latency,26.962534563598172,285.1459400213365
 
 ,vgg19,resnet50
GPU allocate,10,10
Batchsize,8,1
Throughput,70.62839197528672,61.59336544282273
Latency,113.27671584455207,16.23649231577353
 
 ,vgg19,resnet50
GPU allocate,10,10
Batchsize,8,8
Throughput,69.52790885512088,151.95032761648923
Latency,115.06952840528459,52.65660378503211
 
 ,vgg19,resnet50
GPU allocate,10,10
Batchsize,8,16
Throughput,69.64442381776777,143.23267026628514
Latency,114.87703042821214,111.72199767723272
 
 ,vgg19,resnet50
GPU allocate,10,10
Batchsize,8,32
Throughput,70.03045107900532,112.03021914415278
Latency,114.24383949256514,285.66849540053005
 
 ,vgg19,resnet50
GPU allocate,10,10
Batchsize,16,1
Throughput,75.99973579474927,61.575863372718004
Latency,210.54268693524585,16.241107031730778
 
 ,vgg19,resnet50
GPU allocate,10,10
Batchsize,16,8
Throughput,74.81439853577503,151.90607102785216
Latency,213.87821536961403,52.67194257673769
 
 ,vgg19,resnet50
GPU allocate,10,10
Batchsize,16,16
Throughput,74.93989578941358,143.1907129679211
Latency,213.52007281185485,111.75472952772495
 
 ,vgg19,resnet50
GPU allocate,10,10
Batchsize,16,32
Throughput,75.35568534540421,111.9973001964609
Latency,212.34202084117263,285.75245167969047
 
 ,vgg19,resnet50
GPU allocate,10,10
Batchsize,32,1
Throughput,80.03958412608625,61.562676639636365
Latency,399.83345579803046,16.244585669529442
 
 ,vgg19,resnet50
GPU allocate,10,10
Batchsize,32,8
Throughput,78.79056453549804,151.8727268263608
Latency,406.1712800628041,52.68350517367912
 
 ,vgg19,resnet50
GPU allocate,10,10
Batchsize,32,16
Throughput,78.92280312622663,143.15910121143918
Latency,405.4907748182898,111.77940325702863
 
 ,vgg19,resnet50
GPU allocate,10,10
Batchsize,32,32
Throughput,79.36092936608452,111.9724982158793
Latency,403.25236297085235,285.8157391038414
 
 ,vgg19,resnet50
GPU allocate,10,25
Batchsize,1,1
Throughput,37.20253917627071,90.12811751656757
Latency,26.88086313282842,11.096294072205616
 
 ,vgg19,resnet50
GPU allocate,10,25
Batchsize,1,8
Throughput,35.84096656350259,306.75092200739533
Latency,27.90201071011383,26.08761084822879
 
 ,vgg19,resnet50
GPU allocate,10,25
Batchsize,1,16
Throughput,35.795299260004676,317.5696892372186
Latency,27.93760658387179,50.3982813895834
 
 ,vgg19,resnet50
GPU allocate,10,25
Batchsize,1,32
Throughput,36.14324390632191,262.3873421042437
Latency,27.668665573294735,121.98838113802832
 
 ,vgg19,resnet50
GPU allocate,10,25
Batchsize,8,1
Throughput,70.24471832928741,89.97132531221321
Latency,113.89538570927832,11.115629778826094
 
 ,vgg19,resnet50
GPU allocate,10,25
Batchsize,8,8
Throughput,67.6565238860553,306.2008162219379
Latency,118.25214465479519,26.134464557523835
 
 ,vgg19,resnet50
GPU allocate,10,25
Batchsize,8,16
Throughput,67.56973849798716,316.9940942801611
Latency,118.40401559379379,50.48976572714353
 
 ,vgg19,resnet50
GPU allocate,10,25
Batchsize,8,32
Throughput,68.2310043066581,261.90859733945814
Latency,117.25657013173553,122.21130747564273
 
 ,vgg19,resnet50
GPU allocate,10,25
Batchsize,16,1
Throughput,75.58647432925186,89.94618516742376
Latency,211.69372244809273,11.118736347139098
 
 ,vgg19,resnet50
GPU allocate,10,25
Batchsize,16,8
Throughput,72.79880257728512,306.11261747261835
Latency,219.7994740825647,26.141992301479597
 
 ,vgg19,resnet50
GPU allocate,10,25
Batchsize,16,16
Throughput,72.70533199368955,316.90181089492705
Latency,220.082030020915,50.504464044085275
 
 ,vgg19,resnet50
GPU allocate,10,25
Batchsize,16,32
Throughput,73.41754177182342,261.8318427275716
Latency,217.94720731305856,122.2471239011895
 
 ,vgg19,resnet50
GPU allocate,10,25
Batchsize,32,1
Throughput,79.60411772993405,89.92724345778785
Latency,402.020533781768,11.12107812203009
 
 ,vgg19,resnet50
GPU allocate,10,25
Batchsize,32,8
Throughput,76.66672962947513,306.0461655941158
Latency,417.4222401092741,26.147666820757873
 
 ,vgg19,resnet50
GPU allocate,10,25
Batchsize,32,16
Throughput,76.56824110858953,316.8322818909
Latency,417.9591235199448,50.515543842140886
 
 ,vgg19,resnet50
GPU allocate,10,25
Batchsize,32,32
Throughput,77.31868898564299,261.7740137526152
Latency,413.9027554136404,122.27412282655659
 
 ,vgg19,resnet50
GPU allocate,10,50
Batchsize,1,1
Throughput,37.07850430018538,107.28340406515453
Latency,26.97078162744464,9.322083628550594
 
 ,vgg19,resnet50
GPU allocate,10,50
Batchsize,1,8
Throughput,34.06595711906002,463.4800316869565
Latency,29.355796299206553,17.268541680594783
 
 ,vgg19,resnet50
GPU allocate,10,50
Batchsize,1,16
Throughput,33.5372055805789,534.4225411948005
Latency,29.81860783514852,29.954496200859534
 
 ,vgg19,resnet50
GPU allocate,10,50
Batchsize,1,32
Throughput,34.034515870565066,479.2369884764327
Latency,29.38291442121333,66.80408775981188
 
 ,vgg19,resnet50
GPU allocate,10,50
