 ,resnet50,vgg19
GPU allocate,10,10
Batchsize,1,1
Throughput,61.702524803700676,37.40431925152428
Latency,16.20776969167647,26.73585781088956
 
 ,resnet50,vgg19
GPU allocate,10,10
Batchsize,1,8
Throughput,61.59336544282273,70.62839197528672
Latency,16.23649231577353,113.27671584455207
 
 ,resnet50,vgg19
GPU allocate,10,10
Batchsize,1,16
Throughput,61.575863372718004,75.99973579474927
Latency,16.241107031730778,210.54268693524585
 
 ,resnet50,vgg19
GPU allocate,10,10
Batchsize,1,32
Throughput,61.562676639636365,80.03958412608625
Latency,16.244585669529442,399.83345579803046
 
 ,resnet50,vgg19
GPU allocate,10,10
Batchsize,8,1
Throughput,152.22636749505568,36.825516656285274
Latency,52.561133044829745,27.15606150492287
 
 ,resnet50,vgg19
GPU allocate,10,10
Batchsize,8,8
Throughput,151.95032761648923,69.52790885512088
Latency,52.65660378503211,115.06952840528459
 
 ,resnet50,vgg19
GPU allocate,10,10
Batchsize,8,16
Throughput,151.90607102785216,74.81439853577503
Latency,52.67194257673769,213.87821536961403
 
 ,resnet50,vgg19
GPU allocate,10,10
Batchsize,8,32
Throughput,151.8727268263608,78.79056453549804
Latency,52.68350517367912,406.1712800628041
 
 ,resnet50,vgg19
GPU allocate,10,10
Batchsize,16,1
Throughput,143.4943720438264,36.8868040321724
Latency,111.51827015718624,27.11094336885474
 
 ,resnet50,vgg19
GPU allocate,10,10
Batchsize,16,8
Throughput,143.23267026628514,69.64442381776777
Latency,111.72199767723272,114.87703042821214
 
 ,resnet50,vgg19
GPU allocate,10,10
Batchsize,16,16
Throughput,143.1907129679211,74.93989578941358
Latency,111.75472952772495,213.52007281185485
 
 ,resnet50,vgg19
GPU allocate,10,10
Batchsize,16,32
Throughput,143.15910121143918,78.92280312622663
Latency,111.77940325702863,405.4907748182898
 
 ,resnet50,vgg19
GPU allocate,10,10
Batchsize,32,1
Throughput,112.23554704045586,37.089845959387716
Latency,285.1459400213365,26.962534563598172
 
 ,resnet50,vgg19
GPU allocate,10,10
Batchsize,32,8
Throughput,112.03021914415278,70.03045107900532
Latency,285.66849540053005,114.24383949256514
 
 ,resnet50,vgg19
GPU allocate,10,10
Batchsize,32,16
Throughput,111.9973001964609,75.35568534540421
Latency,285.75245167969047,212.34202084117263
 
 ,resnet50,vgg19
GPU allocate,10,10
Batchsize,32,32
Throughput,111.9724982158793,79.36092936608452
Latency,285.8157391038414,403.25236297085235
 
 ,resnet50,vgg19
GPU allocate,10,25
Batchsize,1,1
Throughput,61.59642474921766,68.68371670241032
Latency,16.23568594730909,14.560469107170405
 
 ,resnet50,vgg19
GPU allocate,10,25
Batchsize,1,8
Throughput,61.31347812055992,155.27521049592153
Latency,16.31060513597812,51.52924391554778
 
 ,resnet50,vgg19
GPU allocate,10,25
Batchsize,1,16
Throughput,61.260036872667214,171.92462486423153
Latency,16.32483312049228,93.07967831096954
 
 ,resnet50,vgg19
GPU allocate,10,25
Batchsize,1,32
Throughput,61.22127929465316,184.00261920550744
Latency,16.335167323187033,173.94184643938263
 
 ,resnet50,vgg19
GPU allocate,10,25
Batchsize,8,1
Throughput,151.95806359250687,67.62894384012095
Latency,52.6539235078431,14.78754579670473
 
 ,resnet50,vgg19
GPU allocate,10,25
Batchsize,8,8
Throughput,151.24266623870247,152.86197721318356
Latency,52.90294638170812,52.34261306143547
 
 ,resnet50,vgg19
GPU allocate,10,25
Batchsize,8,16
Throughput,151.10756475966517,169.2470500508963
Latency,52.95023858622831,94.55199896223708
 
 ,resnet50,vgg19
GPU allocate,10,25
Batchsize,8,32
Throughput,148.21490319288785,177.78131885634218
Latency,53.98349838162954,180.02769327482153
 
 ,resnet50,vgg19
GPU allocate,10,25
Batchsize,16,1
Throughput,143.24000434472322,67.74064193112663
Latency,111.71627816334191,14.763164104868633
 
 ,resnet50,vgg19
GPU allocate,10,25
Batchsize,16,8
Throughput,142.5617913039235,153.1174903688584
Latency,112.24767461444127,52.255279941049174
 
 ,resnet50,vgg19
GPU allocate,10,25
Batchsize,16,16
Throughput,142.43371613591535,169.53054332934082
Latency,112.34859269179154,94.39391286156007
 
 ,resnet50,vgg19
GPU allocate,10,25
Batchsize,16,32
Throughput,142.34083556138518,181.43726472044892
Latency,112.42189245296747,176.4007804187565
 
 ,resnet50,vgg19
GPU allocate,10,25
Batchsize,32,1
Throughput,112.03597333738574,68.11067184026443
Latency,285.65382500769687,14.682964476274377
 
 ,resnet50,vgg19
GPU allocate,10,25
Batchsize,32,8
Throughput,111.50386665273487,153.96401880404866
Latency,287.0168420116981,51.96801177828005
 
 ,resnet50,vgg19
GPU allocate,10,25
Batchsize,32,16
Throughput,111.40338426979612,170.46978551943923
Latency,287.2756940517427,93.87391422301438
 
 ,resnet50,vgg19
GPU allocate,10,25
Batchsize,32,32
Throughput,111.33051443154035,182.44369003911265
Latency,287.4637058848389,175.42786251686937
 
 ,resnet50,vgg19
GPU allocate,10,50
Batchsize,1,1
Throughput,61.49318862224915,98.76138141158866
Latency,16.262941135482066,10.126392730304852
 
 ,resnet50,vgg19
GPU allocate,10,50
Batchsize,1,8
Throughput,59.43015304783627,268.8105282216358
Latency,16.82745271526175,29.768558744781124
 
 ,resnet50,vgg19
GPU allocate,10,50
Batchsize,1,16
Throughput,58.98557298315506,308.771730152409
Latency,16.954275514150257,51.83385459996088
 
 ,resnet50,vgg19
GPU allocate,10,50
Batchsize,1,32
Throughput,58.66417679145763,337.5447140752192
Latency,17.047155457773055,94.83353337462972
 
 ,resnet50,vgg19
GPU allocate,10,50
