model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,1,8795.97826385498,500,17.59195652770996
vgg19,10,1,8604.39309501648,298,28.873802332270067

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,1,8727.238342285156,500,17.454476684570313
vgg19,10,8,7356.0596923828125,41,179.4160900581174

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,1,8773.871395111084,500,17.547742790222166
vgg19,10,16,7117.014114379883,33,215.66709437514797

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,1,8787.403852462769,500,17.574807704925536
vgg19,10,32,5372.305633544922,13,413.2542795034555

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,10,1,14467.46061706543,500,28.934921234130858
resnet50,10,8,14772.19514465332,206,71.70968516822

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,8,35646.02156829834,500,71.29204313659667
vgg19,10,8,34247.81332397461,191,179.30792316217074

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,8,35761.60752105713,500,71.52321504211426
vgg19,10,16,34077.28479003906,158,215.6790176584751

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,8,35778.847915649414,500,71.55769583129883
vgg19,10,32,32243.74395751953,78,413.3813327887119

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,10,1,14480.826244354248,500,28.961652488708495
resnet50,10,16,14890.990753173828,129,115.43403684630874

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,16,57535.80838775635,500,115.0716167755127
vgg19,10,8,56068.50129699707,312,179.70673492627267

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,16,57664.61576843262,500,115.32923153686524
vgg19,10,16,55996.43656921387,259,216.20245779619253

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,16,57719.61880493164,500,115.43923760986328
vgg19,10,32,54284.54275512695,131,414.38582255822104

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,10,1,14513.844381332397,500,29.027688762664795
resnet50,10,32,14956.722793579102,71,210.6580675151986

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,10,8,89923.25723266602,500,179.84651446533204
resnet50,10,32,91608.26322937012,437,209.629892973387

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,32,105026.9165802002,500,210.0538331604004
vgg19,10,16,103237.58863830566,477,216.43100343460307

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,32,105072.87739562988,500,210.14575479125978
vgg19,10,32,101582.70056152344,245,414.62326759805484

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,25,1,5583.880992889404,500,11.167761985778808
resnet50,10,1,5673.572170257568,305,18.601875968057602

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,1,9097.949954986572,500,18.195899909973143
vgg19,25,8,8588.273330688477,125,68.70618664550781

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,1,9251.899639129639,500,18.503799278259276
vgg19,25,16,8667.417915344238,104,83.34055687830998

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,1,9246.739763259888,500,18.493479526519774
vgg19,25,32,7974.837738037109,50,159.4967547607422

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,25,1,5599.986077308655,500,11.19997215461731
resnet50,10,8,5753.51383972168,77,74.72095895742441

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,25,8,34485.66718292236,500,68.97133436584473
resnet50,10,8,35121.78602600098,479,73.32314410438617

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,8,37148.77411651611,500,74.29754823303223
vgg19,25,16,36521.10767364502,435,83.9565693647012

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,8,37142.23574066162,500,74.28447148132324
vgg19,25,32,35804.49398803711,223,160.55826900465073

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,25,1,5664.312610626221,500,11.328625221252441
resnet50,10,16,5916.330963134766,49,120.74144822724011

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,25,8,34618.27226257324,500,69.23654452514648
resnet50,10,16,35219.29879760742,299,117.79029698196462

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,25,16,42261.94980621338,500,84.52389961242676
resnet50,10,16,43092.1974029541,361,119.36896787521911

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,16,59881.58689880371,500,119.76317379760742
vgg19,25,32,58683.42465209961,362,162.1089078787282

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,25,1,5670.940101623535,500,11.34188020324707
resnet50,10,32,5908.390487670898,27,218.8292773211444

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,25,8,34763.24624633789,500,69.52649249267579
resnet50,10,32,35470.2373046875,165,214.97113517992423

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,25,16,42489.56253051758,500,84.97912506103516
resnet50,10,32,43457.03077697754,199,218.37703908028914

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,25,32,81285.70166015625,500,162.5714033203125
resnet50,10,32,82763.99893188477,379,218.37466736645058

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,50,1,3244.7043166160583,500,6.489408633232117
resnet50,10,1,3321.926851272583,150,22.146179008483887

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,1,10643.25064086914,500,21.286501281738282
vgg19,50,8,10401.752864837646,278,37.41637721164621

model name,gpu resource,batchsize,total latency,real exec times,avg latency
