model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,1,3169.1641912460327,500,6.338328382492065
densenet201,10,1,3254.9507484436035,86,37.84826451678609

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,8,9907.955797195435,500,19.81591159439087
densenet201,10,1,9910.475749969482,258,38.41269670530807

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,16,17021.520652770996,500,34.04304130554199
densenet201,10,1,16922.283290863037,439,38.54734234820737

model name,gpu resource,batchsize,total latency,real exec times,avg latency
densenet201,10,1,19413.87364578247,500,38.82774729156494
mobilenet,10,32,19510.87213897705,313,62.33505475711518

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,1,3283.5154604911804,500,6.5670309209823605
densenet201,10,8,3418.4832916259766,27,126.61049228244357

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,8,10110.405742645264,500,20.22081148529053
densenet201,10,8,10241.170547485352,81,126.43420428994261

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,16,17248.98524093628,500,34.49797048187256
densenet201,10,8,17476.879959106445,138,126.64405767468439

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,32,31447.868686676025,500,62.89573737335205
densenet201,10,8,31622.93458557129,249,126.99973729145096

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,1,3298.530596256256,500,6.597061192512512
densenet201,10,16,3546.8155670166016,18,197.04530927870007

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,8,10189.286762237549,500,20.378573524475097
densenet201,10,16,10523.648422241211,53,198.5594041932304

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,16,17362.1893157959,500,34.7243786315918
densenet201,10,16,17721.279693603516,89,199.1155021753204

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,32,31619.04742050171,500,63.23809484100342
densenet201,10,16,31897.356521606445,160,199.35847826004027

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,1,3302.9956459999084,500,6.605991291999817
densenet201,10,32,3499.8698120117188,10,349.9869812011719

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,8,10258.431383132935,500,20.51686276626587
densenet201,10,32,10556.227233886719,30,351.8742411295573

model name,gpu resource,batchsize,total latency,real exec times,avg latency
mobilenet,10,16,17441.589561462402,500,34.8831791229248
densenet201,10,32,17987.974700927734,51,352.70538629270067

model name,gpu resource,batchsize,total latency,real exec times,avg latency
model name,gpu resource,batchsize,total latency,real exec times,avg latency
