 ,densenet201,vgg19
GPU allocate,10,10
Batchsize,1,1
Throughput,26.24507359522743,37.41694977384218
Latency,38.10336632274989,26.726833144126285
 
 ,densenet201,vgg19
GPU allocate,10,10
Batchsize,1,8
Throughput,26.205871162853278,70.65240918232499
Latency,38.16036524156534,113.23821181386562
 
 ,densenet201,vgg19
GPU allocate,10,10
Batchsize,1,16
Throughput,26.199583627080216,76.02560528922595
Latency,38.16952296403925,210.47105017186888
 
 ,densenet201,vgg19
GPU allocate,10,10
Batchsize,1,32
Throughput,26.194845988204204,80.06684369949227
Latency,38.17642618405162,399.6973390698676
 
 ,densenet201,vgg19
GPU allocate,10,10
Batchsize,8,1
Throughput,73.15565641310047,37.01448699650124
Latency,109.36368345125501,27.01742644908438
 
 ,densenet201,vgg19
GPU allocate,10,10
Batchsize,8,8
Throughput,73.04253186754501,69.88717371483338
Latency,109.53304823204216,114.478037485537
 
 ,densenet201,vgg19
GPU allocate,10,10
Batchsize,8,16
Throughput,73.02438934254583,75.20136091903585
Latency,109.56025919834708,212.7777462939832
 
 ,densenet201,vgg19
GPU allocate,10,10
Batchsize,8,32
Throughput,73.01071920844171,79.19831415044263
Latency,109.58077120749427,404.0802831645908
 
 ,densenet201,vgg19
GPU allocate,10,10
Batchsize,16,1
Throughput,85.39005153754408,36.91440262335826
Latency,187.39109709131355,27.090674942084693
 
 ,densenet201,vgg19
GPU allocate,10,10
Batchsize,16,8
Throughput,85.25700737477679,69.69689306600839
Latency,187.68349781796616,114.79055453422167
 
 ,densenet201,vgg19
GPU allocate,10,10
Batchsize,16,16
Throughput,85.2356705008417,74.99641009541521
Latency,187.73047633548023,213.35918437900344
 
 ,densenet201,vgg19
GPU allocate,10,10
Batchsize,16,32
Throughput,85.21959352340254,78.98235328997885
Latency,187.7658894027771,405.18507134919605
 
 ,densenet201,vgg19
GPU allocate,10,10
Batchsize,32,1
Throughput,96.24256696803897,36.82564027605833
Latency,332.5244882353709,27.155970348182553
 
 ,densenet201,vgg19
GPU allocate,10,10
Batchsize,32,8
Throughput,96.09192365042357,69.52814386906076
Latency,333.0457378710271,115.06913948212339
 
 ,densenet201,vgg19
GPU allocate,10,10
Batchsize,32,16
Throughput,96.0677645244298,74.81465166683192
Latency,333.129484363104,213.8774917779283
 
 ,densenet201,vgg19
GPU allocate,10,10
Batchsize,32,32
Throughput,96.0495610640585,78.79083126375691
Latency,333.1926136468007,406.16990516913023
 
 ,densenet201,vgg19
GPU allocate,10,25
Batchsize,1,1
Throughput,26.206970147066436,68.70673095823584
Latency,38.1587650350353,14.555592207033989
 
 ,densenet201,vgg19
GPU allocate,10,25
Batchsize,1,8
Throughput,26.105256238494654,155.32787530860531
Latency,38.307439220869966,51.511775279261634
 
 ,densenet201,vgg19
GPU allocate,10,25
Batchsize,1,16
Throughput,26.086028782914003,171.98306046158652
Latency,38.33567409702506,93.048057448433
 
 ,densenet201,vgg19
GPU allocate,10,25
Batchsize,1,32
Throughput,26.072081065307938,184.06523638476227
Latency,38.35618191617245,173.88268377826307
 
 ,densenet201,vgg19
GPU allocate,10,25
Batchsize,8,1
Throughput,73.04570299012192,67.97333893596893
Latency,109.52829342907738,14.712627870041489
 
 ,densenet201,vgg19
GPU allocate,10,25
Batchsize,8,8
Throughput,72.75224688294895,153.64982522973875
Latency,109.97005919263734,52.074263500118896
 
 ,densenet201,vgg19
GPU allocate,10,25
Batchsize,8,16
Throughput,72.69678252535375,170.12117820092612
Latency,110.05395540874004,94.06624584155068
 
 ,densenet201,vgg19
GPU allocate,10,25
Batchsize,8,32
Throughput,72.65655012529103,182.0701455935143
Latency,110.11489169255914,175.78771514128437
 
 ,densenet201,vgg19
GPU allocate,10,25
Batchsize,16,1
Throughput,85.26073684420398,67.79094027595409
Latency,187.67528886309648,14.752211113930276
 
 ,densenet201,vgg19
GPU allocate,10,25
Batchsize,16,8
Throughput,84.91562164148601,153.23255284623056
Latency,188.43797771537618,52.21604727078822
 
 ,densenet201,vgg19
GPU allocate,10,25
Batchsize,16,16
Throughput,84.85039587363514,169.65820643950047
Latency,188.58282078391628,94.32289581976347
 
 ,densenet201,vgg19
GPU allocate,10,25
Batchsize,16,32
Throughput,84.80308327072908,181.5740586668793
Latency,188.68802455523993,176.26790747221148
 
 ,densenet201,vgg19
GPU allocate,10,25
Batchsize,32,1
Throughput,96.09614642663574,67.62916914372143
Latency,333.03110413607055,14.787496535903092
 
 ,densenet201,vgg19
GPU allocate,10,25
Batchsize,32,8
Throughput,95.70538912419462,152.8624925925621
Latency,334.3907152797262,52.34243661348638
 
 ,densenet201,vgg19
GPU allocate,10,25
Batchsize,32,16
Throughput,95.63153876828034,169.2476218652128
Latency,334.6489205091323,94.55167956487534
 
 ,densenet201,vgg19
GPU allocate,10,25
Batchsize,32,32
Throughput,95.57797050141853,181.13410877573767
Latency,334.8364625446803,176.69596205693625
 
 ,densenet201,vgg19
GPU allocate,10,50
Batchsize,1,1
Throughput,26.169875592519354,98.79422708834464
Latency,38.21285188492484,10.123026378575917
 
 ,densenet201,vgg19
GPU allocate,10,50
Batchsize,1,8
Throughput,25.433874218182723,270.01737287372106
Latency,39.318620980717256,29.635542900456567
 
 ,densenet201,vgg19
GPU allocate,10,50
Batchsize,1,16
Throughput,25.25278120745814,310.16516279472427
Latency,39.60057608032615,51.60105865326949
 
 ,densenet201,vgg19
GPU allocate,10,50
Batchsize,1,32
Throughput,25.12178828684303,339.07369440283645
Latency,39.80706086635922,94.40604287613249
 
 ,densenet201,vgg19
GPU allocate,10,50
