model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,1,8823.748529434204,500,17.647497058868407
vgg19,10,1,8606.075235366821,298,28.87944709854638

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,1,8715.499452590942,500,17.430998905181884
vgg19,10,8,7347.418045043945,41,179.20531817180355

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,1,8759.79991722107,500,17.51959983444214
vgg19,10,16,7103.311920166016,33,215.25187636866713

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,1,8708.540630340576,500,17.41708126068115
vgg19,10,32,5325.03369140625,13,409.6179762620192

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,10,1,14326.641738891602,500,28.6532834777832
resnet50,10,8,14601.438919067383,206,70.88077145178342

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,8,35346.69454956055,500,70.69338909912109
vgg19,10,8,33945.68946838379,191,177.72612287111932

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,8,35510.694580078125,500,71.02138916015625
vgg19,10,16,33843.52494812012,158,214.199524988102

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,8,35733.52281951904,500,71.46704563903809
vgg19,10,32,32204.264099121094,78,412.87518075796277

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,10,1,14470.74834060669,500,28.94149668121338
resnet50,10,16,14856.38150024414,129,115.16574806390807

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,16,57472.329261779785,500,114.94465852355957
vgg19,10,8,56015.2547454834,312,179.53607290219037

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,16,57579.321228027344,500,115.1586424560547
vgg19,10,16,55918.53379821777,259,215.90167489659373

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,16,57625.252349853516,500,115.25050469970704
vgg19,10,32,54208.533111572266,131,413.805596271544

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,10,1,14481.871046066284,500,28.96374209213257
resnet50,10,32,14908.89273071289,71,209.98440465792802

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,10,8,89711.10284423828,500,179.42220568847657
resnet50,10,32,91387.14311218262,437,209.12389728188242

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,32,104833.30989074707,500,209.66661978149415
vgg19,10,16,103027.45088195801,477,215.9904630649015

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,32,104890.05909729004,500,209.78011819458007
vgg19,10,32,101415.27194213867,245,413.93988547811705

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,25,1,5571.0776653289795,500,11.142155330657959
resnet50,10,1,5669.549551010132,305,18.588687052492237

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,1,9079.364093780518,500,18.158728187561035
vgg19,25,8,8582.346817016602,125,68.65877453613281

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,1,9250.484743118286,500,18.50096948623657
vgg19,25,16,8571.299575805664,103,83.21650073597732

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,1,9249.014099121094,500,18.49802819824219
vgg19,25,32,7968.9852294921875,50,159.37970458984375

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,25,1,5591.178741455078,500,11.182357482910156
resnet50,10,8,5753.172927856445,77,74.71653153060319

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,25,8,34460.21627807617,500,68.92043255615235
resnet50,10,8,35094.20455932617,479,73.26556275433438

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,8,37103.03542327881,500,74.20607084655762
vgg19,25,16,36446.51182556152,435,83.78508465646327

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,8,37107.7442779541,500,74.21548855590821
vgg19,25,32,35764.027923583984,223,160.37680683221518

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,25,1,5658.171238899231,500,11.316342477798463
resnet50,10,16,5906.418357849121,49,120.53915016018614

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,25,8,34589.5915145874,500,69.17918302917481
resnet50,10,16,35311.41519165039,300,117.7047173055013

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,25,16,42064.849365234375,500,84.12969873046875
resnet50,10,16,42891.77254486084,361,118.8137743624954

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,16,59548.81783294678,500,119.09763566589355
vgg19,25,32,58365.49412536621,362,161.23064675515528

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,25,1,5648.302176475525,500,11.29660435295105
resnet50,10,32,5902.644500732422,27,218.6164629900897

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,25,8,34586.653648376465,500,69.17330729675292
resnet50,10,32,35289.67485046387,165,213.8768172755386

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,25,16,42247.551849365234,500,84.49510369873047
resnet50,10,32,43207.381774902344,199,217.12252148192132

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,25,32,81062.3005065918,500,162.1246010131836
resnet50,10,32,82522.34156799316,379,217.7370489920664

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,50,1,3233.1777296066284,500,6.466355459213257
resnet50,10,1,3306.907762527466,150,22.046051750183107

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,1,10632.475532531738,500,21.264951065063478
vgg19,50,8,10394.353076934814,279,37.25574579546529

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,1,11414.691879272461,500,22.82938375854492
vgg19,50,16,11097.053783416748,234,47.42330676673824

model name,gpu resource,batchsize,total latency,real exec times,avg latency
resnet50,10,1,11456.274732589722,500,22.912549465179442
vgg19,50,32,10748.668395996094,119,90.32494450416885

model name,gpu resource,batchsize,total latency,real exec times,avg latency
vgg19,50,1,3250.1185932159424,500,6.500237186431884
resnet50,10,8,3354.2139053344727,39,86.00548475216597

