resnet50,origin,,16.39901155,,,,,,,,,,,,,,,,,,,,
resnet50,10,1,17.03790452,500,0.638892968,3.90%,,densenet201,10,1,37.80875948,223,1.323641756,3.63%,,,,,,,,,
resnet50,10,1,17.15909375,500,0.760082204,4.63%,,densenet201,10,8,123.3304778,69,4.405535239,3.70%,,,,,,,,,
resnet50,10,1,17.30449326,500,0.905481706,5.52%,,densenet201,10,16,194.4640801,45,7.478928932,4.00%,,,,,,,,,
resnet50,10,1,17.55883834,500,1.159826795,7.07%,,densenet201,10,32,346.2021667,25,14.49147825,4.37%,,,,,,,,,
resnet50,10,1,17.110197,500,0.711185452,4.34%,,densenet201,25,1,26.18413169,321,0.472106448,1.84%,,,,,,,,,
resnet50,10,1,18.02466491,500,1.625653356,9.91%,,densenet201,25,8,51.02665804,175,2.090005512,4.27%,,,,,,,,,
resnet50,10,1,18.38747284,500,1.988461289,12.13%,,densenet201,25,16,84.26198606,109,2.507367679,3.07%,,,,,,,,,
resnet50,10,1,18.8098585,500,2.410846951,14.70%,,densenet201,25,32,144.1656215,65,6.179004679,4.48%,,,,,,,,,
resnet50,10,1,17.18827417,500,0.789262624,4.81%,,densenet201,50,1,25.35987683,334,0.377869167,1.51%,,,,,,,,,
resnet50,10,1,19.40278057,500,3.003769017,18.32%,,densenet201,50,8,30.94200388,309,0.29998816,0.98%,,,,,,,,,
resnet50,10,1,21.13098366,500,4.731972112,28.86%,,densenet201,50,16,50.31777158,208,1.065954532,2.16%,,,,,,,,,
resnet50,10,1,22.9356007,500,6.536589147,39.86%,,densenet201,50,32,88.09174429,130,2.785918031,3.27%,,,,,,,,,
resnet50,10,1,17.12758559,500,0.728574037,4.44%,,densenet201,75,1,26.56769706,318,1.719284703,6.92%,,,,,,,,,
resnet50,10,1,20.04865616,500,3.649644608,22.26%,,densenet201,75,8,28.57131806,344,2.963142075,11.57%,,,,,,,,,
resnet50,10,1,24.07463473,500,7.675623177,46.81%,,densenet201,75,16,41.90304289,284,0.660776197,1.60%,,,,,,,,,
resnet50,10,1,27.67678755,500,11.277776,68.77%,,densenet201,75,32,73.74144945,187,0.033972408,0.05%,,,,,,,,,
resnet50,10,1,17.08127999,500,0.682268445,4.16%,,densenet201,90,1,26.53212733,317,2.126094336,8.71%,,,,,,,,,
resnet50,10,1,20.56153441,500,4.162522862,25.38%,,densenet201,90,8,27.81562856,363,2.509505376,9.92%,,,,,,,,,
resnet50,10,1,25.7023271,500,9.303315553,56.73%,,densenet201,90,16,40.87800692,310,1.648746397,4.20%,,,,,,,,,
resnet50,10,1,30.3175652,500,13.91855365,84.87%,,densenet201,90,32,71.8588041,210,3.203314603,4.67%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
resnet50,origin,,68.35067451,,,,,,,,,,,,,,,,,,,,
resnet50,10,8,69.91643951,277,1.565765001,2.29%,,densenet201,10,1,37.965179,500,1.480061281,4.06%,,,,,,,,,
resnet50,10,8,70.5177184,500,2.167043889,3.17%,,densenet201,10,8,125.0599797,280,6.135037084,5.16%,,,,,,,,,
resnet50,10,8,71.01830067,500,2.667626164,3.90%,,densenet201,10,16,197.1786322,180,10.19348099,5.45%,,,,,,,,,
resnet50,10,8,71.23159283,500,2.880918324,4.21%,,densenet201,10,32,349.1495559,102,17.43886738,5.26%,,,,,,,,,
resnet50,10,8,70.66526826,194,2.314593749,3.39%,,densenet201,25,1,26.69117939,500,0.979154154,3.81%,,,,,,,,,
resnet50,10,8,72.63436584,359,4.283691326,6.27%,,densenet201,25,8,51.36274712,500,2.426094586,4.96%,,,,,,,,,
resnet50,10,8,73.88403188,500,5.533357366,8.10%,,densenet201,25,16,85.16834035,430,3.413721975,4.18%,,,,,,,,,
resnet50,10,8,75.0827657,500,6.732091191,9.85%,,densenet201,25,32,146.3059191,255,8.319302294,6.03%,,,,,,,,,
resnet50,10,8,71.01494496,164,2.66427045,3.90%,,densenet201,50,1,22.70159125,500,-2.280416409,-9.13%,,,,,,,,,
resnet50,10,8,77.40404109,207,9.053366578,13.25%,,densenet201,50,8,31.20573293,500,0.563717209,1.84%,,,,,,,,,
resnet50,10,8,83.44845356,312,15.09777905,22.09%,,densenet201,50,16,51.15452206,500,1.902705014,3.86%,,,,,,,,,
resnet50,10,8,89.35100858,500,21.00033407,30.72%,,densenet201,50,32,89.91019096,493,4.604364701,5.40%,,,,,,,,,
resnet50,10,8,71.55510684,167,3.204432333,4.69%,,densenet201,75,1,23.29853011,500,-1.549882247,-6.24%,,,,,,,,,
resnet50,10,8,81.10044189,176,12.74976738,18.65%,,densenet201,75,8,27.71845371,500,2.110277729,8.24%,,,,,,,,,
resnet50,10,8,94.28390074,231,25.93322623,37.94%,,densenet201,75,16,42.75050139,500,1.508234699,3.66%,,,,,,,,,
resnet50,10,8,105.4756286,362,37.12495404,54.32%,,densenet201,75,32,75.36588196,500,1.658404918,2.25%,,,,,,,,,
resnet50,10,8,71.3809543,181,3.03027979,4.43%,,densenet201,90,1,25.16112729,500,0.755094299,3.09%,,,,,,,,,
resnet50,10,8,82.33179316,174,13.98111865,20.45%,,densenet201,90,8,27.77645358,500,2.470330399,9.76%,,,,,,,,,
