,,,,,,,,,,,,,,,,hit sum,miss sum,hit+miss sum,hit rate,l1 read from l2,l1 write to l2,l1 read+write from/to l2,l2 read from dram,l2 write to dram,l2 read+write from/to dram,,,,,,,,,,,,,,,
resnet50,25,1,9.186443703,500,2.149029968,0.3054,,densenet201,50,16,52.38591155,88,3.134094501,0.0636,,133274876,263570528,396845404,0.335835755,384992802,195227201,580220003,267587148,142844019,410431167,,5.681818182,,23456378.18,46388412.93,69844791.1,0.059107093,67758733.15,34359987.38,102118720.5,47095338.05,25140547.34,72235885.39,,
resnet50,25,1,9.957863359,500,2.920449624,0.415,,densenet201,50,32,91.67902249,55,6.373196234,0.0747,,192049156,569170270,761219426,0.252291454,736466950,372429610,1108896560,574702314,311524150,886226464,,9.090909091,,21125407.16,62608729.7,83734136.86,0.02775206,81011364.5,40967257.1,121978621.6,63217254.54,34267656.5,97484911.04,,
resnet50,25,1,7.566441466,500,0.529027731,0.0752,,densenet201,75,1,25.15711723,150,0.308704873,0.0124,,22983408,15036664,38020072,0.604507219,36470994,12196191,48667185,16090340,1525869,17616209,,3.333333333,,6895022.4,4510999.2,11406021.6,0.181352166,10941298.2,3658857.3,14600155.5,4827102,457760.7,5284862.7,,
resnet50,25,1,8.936708348,500,1.899294613,0.2699,,densenet201,75,8,28.32372427,157,2.715548293,0.106,,131973217,113433588,245406805,0.537773258,238377352,86180435,324557787,115116278,48492046,163608324,,3.184713376,,41439590.14,35618146.63,77057736.77,0.168860803,74850488.53,27060656.59,101911145.1,36146511.29,15226502.44,51373013.74,,
resnet50,25,1,10.34478361,500,3.307369877,0.47,,densenet201,75,16,43.68712761,118,2.444860924,0.0593,,128320721,260990144,389310865,0.329609915,378839579,195123691,573963270,263946711,142256852,406203563,,4.237288136,,30283690.16,61593673.98,91877364.14,0.07778794,89406140.64,46049191.08,135455331.7,62291423.8,33572617.07,95864040.87,,
resnet50,25,1,11.92146625,500,4.884052516,0.694,,densenet201,75,32,76.52453603,78,2.817058995,0.0382,,197524682,560578408,758103090,0.260551216,734408067,372164778,1106572845,564974396,310907186,875881582,,6.41025641,,30813850.39,87450231.65,118264082,0.04064599,114567658.5,58057705.37,172625363.8,88136005.78,48501521.02,136637526.8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,origin,,27.79364286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,25,8,28.53866164,500,0.745018784,0.0268,,densenet201,10,1,40.29427389,349,3.80915617,0.1044,,22686222,15030936,37717158,0.601482805,36090672,12206520,48297192,17914337,1749389,19663726,,1.432664756,,15834982.96,10491593.33,26326576.28,0.419834998,25191289.06,8520150.96,33711440.02,12504207.23,1221073.522,13725280.75,103484228,0.132631619
resnet50,25,8,28.8331357,500,1.039492844,0.0374,,densenet201,10,8,130.8803533,110,11.95541074,0.1005,,115208057,131754314,246962371,0.466500449,236851666,86330659,323182325,142264571,51697893,193962464,,4.545454545,,25345772.54,28985949.08,54331721.62,0.102630099,52107366.52,18992744.98,71100111.5,31298205.62,11373536.46,42671742.08,103484228,0.4123502
resnet50,25,8,29.06580273,500,1.272159867,0.0458,,densenet201,10,16,205.2000861,71,18.21493494,0.0974,,137691091,257830364,395521455,0.348125466,382472342,195536851,578009193,272706918,146807045,419513963,,7.042253521,,19552134.92,36611911.69,56164046.61,0.049433816,54311072.56,27766232.84,82077305.41,38724382.36,20846600.39,59570982.75,103484228,0.575652772
resnet50,25,8,29.32422421,500,1.530581353,0.0551,,densenet201,10,32,364.7662712,40,33.05558271,0.0997,,190093285,575953100,766046385,0.248148531,736205505,373195792,1109401297,601861481,317181847,919043328,,12.5,,15207462.8,46076248,61283710.8,0.019851882,58896440.4,29855663.36,88752103.76,48148918.48,25374547.76,73523466.24,103484228,0.710479922
resnet50,25,8,28.7967499,500,1.003107045,0.0361,,densenet201,25,1,28.36124071,497,2.649215473,0.103,,23539259,15030936,38570195,0.610296603,37014917,12208251,49223168,16494139,1727044,18221183,,1.006036217,,23398023.45,14940750.38,38338773.83,0.606634824,36792827.5,12135001.49,48927828.99,16395174.17,1716681.736,18111855.9,103484228,0.175020448
resnet50,25,8,29.98703828,500,2.193395424,0.0789,,densenet201,25,8,54.67405183,271,5.737399297,0.1172,,122597846,124322140,246919986,0.496508395,237911918,86226254,324138172,128140569,49681340,177821909,,1.84501845,,66448032.53,67382599.88,133830632.4,0.26910755,128948259.6,46734629.67,175682889.2,69452188.4,26927286.28,96379474.68,103484228,0.931344578
resnet50,25,8,30.65778455,500,2.864141694,0.1031,,densenet201,25,16,90.08701442,169,8.332396038,0.1019,,131359341,265363338,396722679,0.331111247,384300761,195143217,579443978,272102348,144546326,416648674,,2.958579882,,44399457.26,89692808.24,134092265.5,0.111915602,129893657.2,65958407.35,195852064.6,91970593.62,48856658.19,140827251.8,103484228,1.360857152
resnet50,25,8,31.38760177,500,3.593958912,0.1293,,densenet201,25,32,155.7131633,101,17.72654652,0.1285,,186820181,577253926,764074107,0.244505316,735767874,372640926,1108408800,588447297,316571472,905018769,,4.95049505,,37737676.56,116605293.1,154342969.6,0.049390074,148625110.5,75273467.05,223898577.6,118866354,63947437.34,182813791.3,103484228,1.766586028
resnet50,25,8,28.75790081,442,0.964257952,0.0347,,densenet201,50,1,24.89081293,500,-0.091194725,-0.0037,,23618096,15045852,38663948,0.610855777,37068764,12201701,49270465,16124930,1211766,17336696,,0.884,,26717303.17,17020194.57,43737497.74,0.691013322,41932990.95,13802829.19,55735820.14,18240871.04,1370776.018,19611647.06,103484228,0.189513392
resnet50,25,8,32.66875632,500,4.875113461,0.1754,,densenet201,50,8,34.00333872,472,3.361322997,0.1097,,129561256,117671768,247233024,0.524045105,239610816,86220044,325830860,119888543,48201829,168090372,,1.059322034,,122305825.7,111082149,233387974.7,0.494698579,226192610.3,81391721.54,307584331.8,113174784.6,45502526.58,158677311.2,103484228,1.533347779
resnet50,25,8,35.47231441,500,7.678671555,0.2763,,densenet201,50,16,55.31570204,317,6.063884985,0.1231,,133274876,263570528,396845404,0.335835755,384992802,195227201,580220003,267587148,142844019,410431167,,1.577287066,,84496271.38,167103714.8,251599986.1,0.212919869,244085436.5,123774045.4,367859481.9,169650251.8,90563108.05,260213359.9,103484228,2.514521922
resnet50,25,8,38.06559491,500,10.27195205,0.3696,,densenet201,50,32,97.41031843,194,12.10449217,0.1419,,192049156,569170270,761219426,0.252291454,736466950,372429610,1108896560,574702314,311524150,886226464,,2.577319588,,74515072.53,220838064.8,295353137.3,0.097889084,285749176.6,144502688.7,430251865.3,222984497.8,120871370.2,343855868,103484228,3.322785266
resnet50,25,8,28.76731878,458,0.973675924,0.035,,densenet201,75,1,25.78144705,500,0.933034692,0.0375,,22983408,15036664,38020072,0.604507219,36470994,12196191,48667185,16090340,1525869,17616209,,0.916,,25091056.77,16415572.05,41506628.82,0.659942379,39815495.63,13314619,53130114.63,17565873.36,1665795.852,19231669.21,103484228,0.185841549
resnet50,25,8,34.48259512,421,6.688952262,0.2407,,densenet201,75,8,28.38372026,500,2.775544284,0.1084,,131973217,113433588,245406805,0.537773258,238377352,86180435,324557787,115116278,48492046,163608324,,0.842,,156737787.4,134719225.7,291457013.1,0.638685579,283108494.1,102352060.6,385460554.6,136717669.8,57591503.56,194309173.4,103484228,1.877669449
resnet50,25,8,39.90645853,500,12.11281567,0.4358,,densenet201,75,16,46.32547985,425,5.083213163,0.1233,,128320721,260990144,389310865,0.329609915,378839579,195123691,573963270,263946711,142256852,406203563,,1.176470588,,109072612.9,221841622.4,330914235.3,0.280168427,322013642.2,165855137.4,487868779.5,224354704.4,120918324.2,345273028.6,103484228,3.336479725
resnet50,25,8,44.7309052,500,16.93726234,0.6094,,densenet201,75,32,81.29855559,273,7.591078551,0.103,,197524682,560578408,758103090,0.260551216,734408067,372164778,1106572845,564974396,310907186,875881582,,1.831501832,,107848476.4,306075810.8,413924287.1,0.142260964,400986804.6,203201968.8,604188773.4,308476020.2,169755323.6,478231343.8,103484228,4.621296917
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,origin,,45.71981171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,25,16,46.94929079,452,1.22947908,0.0269,,densenet201,10,1,41.70521628,500,5.220098558,0.1431,,22686222,15030936,37717158,0.601482805,36090672,12206520,48297192,17914337,1749389,19663726,,0.904,,25095378.32,16627141.59,41722519.91,0.665357085,39923309.73,13502787.61,53426097.35,19816744.47,1935164.823,21751909.29,,
resnet50,25,16,47.55152421,500,1.831712498,0.0401,,densenet201,10,8,135.1785272,175,16.25358462,0.1367,,115208057,131754314,246962371,0.466500449,236851666,86330659,323182325,142264571,51697893,193962464,,2.857142857,,40322819.95,46114009.9,86436829.85,0.163275157,82898083.1,30215730.65,113113813.8,49792599.85,18094262.55,67886862.4,,
resnet50,25,16,47.87714005,500,2.157328343,0.0472,,densenet201,10,16,211.0931502,113,24.10799898,0.1289,,137691091,257830364,395521455,0.348125466,382472342,195536851,578009193,272706918,146807045,419513963,,4.424778761,,31118186.57,58269662.26,89387848.83,0.078676355,86438749.29,44191328.33,130630077.6,61631763.47,33178392.17,94810155.64,,
resnet50,25,16,46.62333187,500,0.903520161,0.0198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,25,16,47.26300379,280,1.543192075,0.0338,,densenet201,25,1,25.82447446,500,0.112449217,0.0044,,23539259,15030936,38570195,0.610296603,37014917,12208251,49223168,16494139,1727044,18221183,,0.56,,42034391.07,26840957.14,68875348.21,1.089815363,66098066.07,21800448.21,87898514.29,29453819.64,3084007.143,32537826.79,,
resnet50,25,16,49.48275944,500,3.762947728,0.0823,,densenet201,25,8,57.12992996,428,8.193277431,0.1674,,122597846,124322140,246919986,0.496508395,237911918,86226254,324138172,128140569,49681340,177821909,,1.168224299,,104943756.2,106419751.8,211363508,0.425011186,203652601.8,73809673.42,277462275.2,109688327.1,42527227.04,152215554.1,,
resnet50,25,16,50.69259672,500,4.972785008,0.1088,,densenet201,25,16,94.05836188,268,12.3037435,0.1505,,131359341,265363338,396722679,0.331111247,384300761,195143217,579443978,272102348,144546326,416648674,,1.865671642,,70408606.78,142234749.2,212643355.9,0.177475628,205985207.9,104596764.3,310581972.2,145846858.5,77476830.74,223323689.3,,
resnet50,25,16,47.31225185,281,1.592440145,0.0348,,densenet201,50,1,25.90859424,500,0.926586578,0.0371,,23618096,15045852,38663948,0.610855777,37068764,12201701,49270465,16124930,1211766,17336696,,0.562,,42025081.85,26771978.65,68797060.5,1.086931988,65958654.8,21711211.74,87669866.55,28692046.26,2156167.26,30848213.52,,
resnet50,25,16,53.60880548,340,7.888993767,0.1726,,densenet201,50,8,35.71304586,500,5.07103014,0.1655,,129561256,117671768,247233024,0.524045105,239610816,86220044,325830860,119888543,48201829,168090372,,0.68,,190531258.8,173046717.6,363577976.5,0.770654566,352368847.1,126794182.4,479163029.4,176306680.9,70885042.65,247191723.5,,
resnet50,25,16,58.78385019,500,13.06403848,0.2857,,densenet201,50,16,58.22016499,499,8.968347943,0.1821,,133274876,263570528,396845404,0.335835755,384992802,195227201,580220003,267587148,142844019,410431167,,1.002004008,,133008326.2,263043386.9,396051713.2,0.335164084,384222816.4,194836746.6,579059563,267051973.7,142558331,409610304.7,,
resnet50,25,16,46.55785198,500,0.838040272,0.0183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,25,16,47.26403358,292,1.544221869,0.0338,,densenet201,75,1,26.91818924,500,2.069776876,0.0833,,22983408,15036664,38020072,0.604507219,36470994,12196191,48667185,16090340,1525869,17616209,,0.584,,39355150.68,25747712.33,65102863.01,1.035115101,62450332.19,20883888.7,83334220.89,27551952.05,2612789.384,30164741.44,,
resnet50,25,16,56.6805726,264,10.96076089,0.2397,,densenet201,75,8,29.13604276,500,3.527866775,0.1378,,131973217,113433588,245406805,0.537773258,238377352,86180435,324557787,115116278,48492046,163608324,,0.528,,249949274.6,214836340.9,464785615.5,1.018509958,451472257.6,163220520.8,614692778.4,218023253.8,91840996.21,309864250,,
resnet50,25,16,65.14088399,382,19.42107228,0.4248,,densenet201,75,16,48.95009363,500,7.707826938,0.1869,,128320721,260990144,389310865,0.329609915,378839579,195123691,573963270,263946711,142256852,406203563,,0.764,,167959058.9,341610136.1,509569195,0.43142659,495863323.3,255397501.3,751260824.6,345479988.2,186200068.1,531680056.3,,
resnet50,25,16,46.58538411,500,0.865572399,0.0189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,origin,,83.10468872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,25,32,84.96058799,254,1.85589927,0.0223,,densenet201,10,1,42.29728816,500,5.812170442,0.1593,,22686222,15030936,37717158,0.601482805,36090672,12206520,48297192,17914337,1749389,19663726,,0.508,,44657917.32,29588456.69,74246374.02,1.18402127,71044629.92,24028582.68,95073212.6,35264442.91,3443679.134,38708122.05,,
resnet50,25,32,86.20542593,500,3.100737214,0.0373,,densenet201,10,8,136.8818418,313,17.95689919,0.151,,115208057,131754314,246962371,0.466500449,236851666,86330659,323182325,142264571,51697893,193962464,,1.597444089,,72120243.68,82478200.56,154598444.2,0.292029281,148269142.9,54042992.53,202312135.5,89057621.45,32362881.02,121420502.5,,
resnet50,25,32,86.93503304,500,3.830344315,0.0461,,densenet201,10,16,213.5331004,203,26.54794925,0.142,,137691091,257830364,395521455,0.348125466,382472342,195536851,578009193,272706918,146807045,419513963,,2.463054187,,55902582.95,104679127.8,160581710.7,0.141338939,155283770.9,79387961.51,234671732.4,110719008.7,59603660.27,170322669,,
resnet50,25,32,84.46620483,500,1.361516114,0.0164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,25,32,85.49316336,164,2.388474645,0.0287,,densenet201,25,1,27.33732212,500,1.625296884,0.0632,,23539259,15030936,38570195,0.610296603,37014917,12208251,49223168,16494139,1727044,18221183,,0.328,,71766033.54,45826024.39,117592057.9,1.860660376,112850356.7,37220277.44,150070634.1,50287009.15,5265378.049,55552387.2,,
resnet50,25,32,89.98960655,328,6.884917835,0.0828,,densenet201,25,8,58.07457899,500,9.137926457,0.1867,,122597846,124322140,246919986,0.496508395,237911918,86226254,324138172,128140569,49681340,177821909,,0.656,,186886960.4,189515457.3,376402417.7,0.756872554,362670606.7,131442460.4,494113067.1,195336233.2,75733750,271069983.2,,
resnet50,25,32,92.35888994,500,9.254201218,0.1114,,densenet201,25,16,95.62030246,479,13.86568408,0.1696,,131359341,265363338,396722679,0.331111247,384300761,195143217,579443978,272102348,144546326,416648674,,1.043841336,,125842248.7,254218077.8,380060326.5,0.317204575,368160129,186947201.9,555107330.9,260674049.4,138475380.3,399149429.7,,
resnet50,25,32,84.11267877,500,1.007990052,0.0121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,25,32,85.60254061,153,2.497851888,0.0301,,densenet201,50,1,25.45156717,500,0.469559509,0.0188,,23618096,15045852,38663948,0.610855777,37068764,12201701,49270465,16124930,1211766,17336696,,0.306,,77183320.26,49169450.98,126352771.2,1.996260709,121139751.6,39874839.87,161014591.5,52695849.67,3960019.608,56655869.28,,
resnet50,25,32,97.13170412,191,14.0270154,0.1688,,densenet201,50,8,36.26149744,500,5.619481717,0.1834,,129561256,117671768,247233024,0.524045105,239610816,86220044,325830860,119888543,48201829,168090372,,0.382,,339165591.6,308041277.5,647206869.1,1.371845824,627253445,225706921.5,852960366.5,313844353.4,126182798.4,440027151.8,,
resnet50,25,32,106.0657607,283,22.96107194,0.2763,,densenet201,50,16,59.18715955,500,9.935342496,0.2017,,133274876,263570528,396845404,0.335835755,384992802,195227201,580220003,267587148,142844019,410431167,,0.566,,235467978.8,465672311,701140289.8,0.593349391,680199296.8,344924383.4,1025123680,472768812.7,252374591.9,725143404.6,,
resnet50,25,32,84.09701756,500,0.992328843,0.0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,25,32,85.8819693,150,2.777280579,0.0334,,densenet201,75,1,24.96322968,500,0.114817315,0.0046,,22983408,15036664,38020072,0.604507219,36470994,12196191,48667185,16090340,1525869,17616209,,0.3,,76611360,50122213.33,126733573.3,2.015024064,121569980,40653970,162223950,53634466.67,5086230,58720696.67,,
resnet50,25,32,102.8344284,148,19.72973965,0.2374,,densenet201,75,8,29.6296798,500,4.021503822,0.157,,131973217,113433588,245406805,0.537773258,238377352,86180435,324557787,115116278,48492046,163608324,,0.296,,445855462.8,383221581.1,829077043.9,1.816801546,805328891.9,291150118.2,1096479010,388906344.6,163824479.7,552730824.3,,
resnet50,25,32,117.8158235,215,34.71113482,0.4177,,densenet201,75,16,49.70368999,500,8.461423297,0.2052,,128320721,260990144,389310865,0.329609915,378839579,195123691,573963270,263946711,142256852,406203563,,0.43,,298420281.4,606953823.3,905374104.7,0.766534685,881022276.7,453776025.6,1334798302,613829560.5,330829888.4,944659448.8,,
resnet50,25,32,84.12993285,500,1.025244126,0.0123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,origin,,6.423712325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,50,1,6.549863427,500,0.126151102,0.0196,,densenet201,10,1,39.56700116,83,3.081883439,0.0845,,22686222,15030936,37717158,0.601482805,36090672,12206520,48297192,17914337,1749389,19663726,,6.024096386,,3765912.852,2495135.376,6261048.228,0.099846146,5991051.552,2026282.32,8017333.872,2973779.942,290398.574,3264178.516,,
resnet50,50,1,6.263243264,500,-0.160469061,-0.025,,densenet201,10,8,129.9122531,24,10.98731046,0.0924,,115208057,131754314,246962371,0.466500449,236851666,86330659,323182325,142264571,51697893,193962464,,20.83333333,,5529986.736,6324207.072,11854193.81,0.022392022,11368879.97,4143871.632,15512751.6,6828699.408,2481498.864,9310198.272,,
resnet50,50,1,6.556264579,500,0.132552254,0.0206,,densenet201,10,16,203.2491646,16,16.26401338,0.087,,137691091,257830364,395521455,0.348125466,382472342,195536851,578009193,272706918,146807045,419513963,,31.25,,4406114.912,8250571.648,12656686.56,0.011140015,12239114.94,6257179.232,18496294.18,8726621.376,4697825.44,13424446.82,,
resnet50,50,1,6.933273218,500,0.509560893,0.0793,,densenet201,10,32,360.2659485,10,28.55525999,0.0861,,190093285,575953100,766046385,0.248148531,736205505,373195792,1109401297,601861481,317181847,919043328,,50,,3801865.7,11519062,15320927.7,0.004962971,14724110.1,7463915.84,22188025.94,12037229.62,6343636.94,18380866.56,,
resnet50,50,1,6.720851779,500,0.297139454,0.0463,,densenet201,25,1,26.94097371,125,1.228948469,0.0478,,23539259,15030936,38570195,0.610296603,37014917,12208251,49223168,16494139,1727044,18221183,,4,,5884814.75,3757734,9642548.75,0.152574151,9253729.25,3052062.75,12305792,4123534.75,431761,4555295.75,,
resnet50,50,1,6.901708415,500,0.47799609,0.0744,,densenet201,25,8,53.41895582,65,4.482303288,0.0916,,122597846,124322140,246919986,0.496508395,237911918,86226254,324138172,128140569,49681340,177821909,,7.692307692,,15937719.98,16161878.2,32099598.18,0.064546091,30928549.34,11209413.02,42137962.36,16658273.97,6458574.2,23116848.17,,
resnet50,50,1,6.869002444,500,0.445290119,0.0693,,densenet201,25,16,87.52660828,40,5.771989896,0.0706,,131359341,265363338,396722679,0.331111247,384300761,195143217,579443978,272102348,144546326,416648674,,12.5,,10508747.28,21229067.04,31737814.32,0.0264889,30744060.88,15611457.36,46355518.24,21768187.84,11563706.08,33331893.92,,
resnet50,50,1,7.327268605,500,0.90355628,0.1407,,densenet201,25,32,149.8686206,25,11.88200381,0.0861,,186820181,577253926,764074107,0.244505316,735767874,372640926,1108408800,588447297,316571472,905018769,,20,,9341009.05,28862696.3,38203705.35,0.012225266,36788393.7,18632046.3,55420440,29422364.85,15828573.6,45250938.45,,
resnet50,50,1,7.15691232,500,0.733199995,0.1141,,densenet201,50,1,28.7781028,125,3.796095138,0.152,,23618096,15045852,38663948,0.610855777,37068764,12201701,49270465,16124930,1211766,17336696,,4,,5904524,3761463,9665987,0.152713944,9267191,3050425.25,12317616.25,4031232.5,302941.5,4334174,,
resnet50,50,1,6.7247305,500,0.301018175,0.0469,,densenet201,50,8,33.09774622,101,2.455730496,0.0801,,129561256,117671768,247233024,0.524045105,239610816,86220044,325830860,119888543,48201829,168090372,,4.95049505,,26171373.71,23769697.14,49941070.85,0.105857111,48401384.83,17416448.89,65817833.72,24217485.69,9736769.458,33954255.14,,
resnet50,50,1,7.155679364,500,0.731967039,0.1139,,densenet201,50,16,53.59045535,67,4.338638304,0.0881,,133274876,263570528,396845404,0.335835755,384992802,195227201,580220003,267587148,142844019,410431167,,7.462686567,,17858833.38,35318450.75,53177284.14,0.045001991,51589035.47,26160444.93,77749480.4,35856677.83,19141098.55,54997776.38,,
resnet50,50,1,7.555550649,500,1.131838324,0.1762,,densenet201,50,32,93.69400825,41,8.388181986,0.0983,,192049156,569170270,761219426,0.252291454,736466950,372429610,1108896560,574702314,311524150,886226464,,12.19512195,,15748030.79,46671962.14,62419992.93,0.020687899,60390289.9,30539228.02,90929517.92,47125589.75,25544980.3,72670570.05,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,origin,,16.03730689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,50,8,16.33289652,500,0.295589629,0.0184,,densenet201,10,1,45.26977656,179,8.784658843,0.2408,,22686222,15030936,37717158,0.601482805,36090672,12206520,48297192,17914337,1749389,19663726,,2.793296089,,8121667.476,5381075.088,13502742.56,0.215330844,12920460.58,4369934.16,17290394.74,6413332.646,626281.262,7039613.908,,
resnet50,50,8,16.66977617,500,0.632469283,0.0394,,densenet201,10,8,146.4008626,57,27.47591998,0.231,,115208057,131754314,246962371,0.466500449,236851666,86330659,323182325,142264571,51697893,193962464,,8.771929825,,13133718.5,15019991.8,28153710.29,0.053181051,27001089.92,9841695.126,36842785.05,16218161.09,5893559.802,22111720.9,,
resnet50,50,8,16.78299717,500,0.745690276,0.0465,,densenet201,10,16,226.988932,37,40.00378082,0.2139,,137691091,257830364,395521455,0.348125466,382472342,195536851,578009193,272706918,146807045,419513963,,13.51351351,,10189140.73,19079446.94,29268587.67,0.025761285,28302953.31,14469726.97,42772680.28,20180311.93,10863721.33,31044033.26,,
resnet50,50,8,17.02137088,500,0.98406399,0.0614,,densenet201,10,32,404.9309111,21,73.22022261,0.2207,,190093285,575953100,766046385,0.248148531,736205505,373195792,1109401297,601861481,317181847,919043328,,23.80952381,,7983917.97,24190030.2,32173948.17,0.010422238,30920631.21,15674223.26,46594854.47,25278182.2,13321637.57,38599819.78,,
resnet50,50,8,16.52616222,500,0.488855326,0.0305,,densenet201,25,1,29.48142473,276,3.769399486,0.1466,,23539259,15030936,38570195,0.610296603,37014917,12208251,49223168,16494139,1727044,18221183,,1.811594203,,12993670.97,8297076.672,21290747.64,0.336883725,20432234.18,6738954.552,27171188.74,9104764.728,953328.288,10058093.02,,
resnet50,50,8,17.69231184,500,1.655004954,0.1032,,densenet201,25,8,63.13871499,139,14.20206246,0.2902,,122597846,124322140,246919986,0.496508395,237911918,86226254,324138172,128140569,49681340,177821909,,3.597122302,,34082201.19,34561554.92,68643756.11,0.138029334,66139513.2,23970898.61,90110411.82,35623078.18,13811412.52,49434490.7,,
resnet50,50,8,18.06556501,500,2.02825812,0.1265,,densenet201,25,16,102.1357287,88,20.38111028,0.2493,,131359341,265363338,396722679,0.331111247,384300761,195143217,579443978,272102348,144546326,416648674,,5.681818182,,23119244.02,46703947.49,69823191.5,0.058275579,67636933.94,34345206.19,101982140.1,47890013.25,25440153.38,73330166.62,,
resnet50,50,8,18.55844656,500,2.521139674,0.1572,,densenet201,25,32,177.207783,52,39.22116624,0.2842,,186820181,577253926,764074107,0.244505316,735767874,372640926,1108408800,588447297,316571472,905018769,,9.615384615,,19429298.82,60034408.3,79463707.13,0.025428553,76519858.9,38754656.3,115274515.2,61198518.89,32923433.09,94121951.98,,
resnet50,50,8,16.57988496,500,0.542578074,0.0338,,densenet201,50,1,27.42099776,298,2.4389901,0.0976,,23618096,15045852,38663948,0.610855777,37068764,12201701,49270465,16124930,1211766,17336696,,1.677852349,,14076385.22,8967327.792,23043713.01,0.364070043,22092983.34,7272213.796,29365197.14,9610458.28,722212.536,10332670.82,,
resnet50,50,8,19.17747384,500,3.140166949,0.1958,,densenet201,50,8,39.22816143,241,8.586145708,0.2802,,129561256,117671768,247233024,0.524045105,239610816,86220044,325830860,119888543,48201829,168090372,,2.074688797,,62448525.39,56717792.18,119166317.6,0.252589741,115492413.3,41558061.21,157050474.5,57786277.73,23233281.58,81019559.3,,
resnet50,50,8,20.79976593,500,4.762459036,0.297,,densenet201,50,16,62.32221254,166,13.07039549,0.2654,,133274876,263570528,396845404,0.335835755,384992802,195227201,580220003,267587148,142844019,410431167,,3.012048193,,44247258.83,87505415.3,131752674.1,0.111497471,127817610.3,64815430.73,192633041,88838933.14,47424214.31,136263147.4,,
resnet50,50,8,22.19446112,500,6.157154227,0.3839,,densenet201,50,32,109.6201988,101,24.31437251,0.285,,192049156,569170270,761219426,0.252291454,736466950,372429610,1108896560,574702314,311524150,886226464,,4.95049505,,38793929.51,114972394.5,153766324.1,0.050962874,148766323.9,75230781.22,223997105.1,116089867.4,62927878.3,179017745.7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,origin,,27.63375874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,50,16,28.11044293,500,0.476684192,0.0173,,densenet201,10,1,49.90880501,278,13.42368729,0.3679,,22686222,15030936,37717158,0.601482805,36090672,12206520,48297192,17914337,1749389,19663726,,1.798561151,,12613539.43,8357200.416,20970739.85,0.33442444,20066413.63,6786825.12,26853238.75,9960371.372,972660.284,10933031.66,,
resnet50,50,16,28.71603979,500,1.082281055,0.0392,,densenet201,10,8,162.562891,88,43.63794841,0.3669,,115208057,131754314,246962371,0.466500449,236851666,86330659,323182325,142264571,51697893,193962464,,5.681818182,,20276618.03,23188759.26,43465377.3,0.082104079,41685893.22,15194195.98,56880089.2,25038564.5,9098829.168,34137393.66,,
resnet50,50,16,29.02626574,500,1.392507003,0.0504,,densenet201,10,16,252.4949598,57,65.50980858,0.3503,,137691091,257830364,395521455,0.348125466,382472342,195536851,578009193,272706918,146807045,419513963,,8.771929825,,15696784.37,29392661.5,45089445.87,0.039686303,43601846.99,22291201.01,65893048,31088588.65,16736003.13,47824591.78,,
resnet50,50,16,28.39609497,500,0.762336231,0.0276,,densenet201,25,1,29.81475657,467,4.102731329,0.1596,,23539259,15030936,38570195,0.610296603,37014917,12208251,49223168,16494139,1727044,18221183,,1.070663812,,21985667.91,14038894.22,36024562.13,0.570017028,34571932.48,11402506.43,45974438.91,15405525.83,1613059.096,17018584.92,,
resnet50,50,16,30.34838949,500,2.714630752,0.0982,,densenet201,25,8,70.62054594,213,21.68389341,0.4431,,122597846,124322140,246919986,0.496508395,237911918,86226254,324138172,128140569,49681340,177821909,,2.34741784,,52226682.4,52961231.64,105187914,0.211512576,101350477.1,36732384.2,138082861.3,54587882.39,21164250.84,75752133.23,,
