,,,,,,,,,,,,,,,,hit sum,miss sum,hit+miss sum,hit rate,l1 read from l2,l1 write to l2,l1 read+write from/to l2,l2 read from dram,l2 write to dram,l2 read+write from/to dram,,,,,,,,,,,,,,,
resnet50,10,1,30.3175652,500,13.91855365,0.8487,,densenet201,90,32,71.8588041,210,3.203314603,0.0467,,,2.380952381,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,origin,,68.35067451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,10,8,69.91643951,277,1.565765001,0.0229,,densenet201,10,1,37.965179,500,1.480061281,0.0406,,22686222,15030936,37717158,0.601482805,36090672,12206520,48297192,17914337,1749389,19663726,,0.554,,40949859.21,27131653.43,68081512.64,1.085709035,65145617.33,22033429.6,87179046.93,32336348.38,3157741.877,35494090.25,,
resnet50,10,8,70.5177184,500,2.167043889,0.0317,,densenet201,10,8,125.0599797,280,6.135037084,0.0516,,115208057,131754314,246962371,0.466500449,236851666,86330659,323182325,142264571,51697893,193962464,,1.785714286,,64516511.92,73782415.84,138298927.8,0.261240252,132636933,48345169.04,180982102,79668159.76,28950820.08,108618979.8,,
resnet50,10,8,71.01830067,500,2.667626164,0.039,,densenet201,10,16,197.1786322,180,10.19348099,0.0545,,137691091,257830364,395521455,0.348125466,382472342,195536851,578009193,272706918,146807045,419513963,,2.777777778,,49568792.76,92818931.04,142387723.8,0.125325168,137690043.1,70393266.36,208083309.5,98174490.48,52850536.2,151025026.7,,
resnet50,10,8,71.23159283,500,2.880918324,0.0421,,densenet201,10,32,349.1495559,102,17.43886738,0.0526,,190093285,575953100,766046385,0.248148531,736205505,373195792,1109401297,601861481,317181847,919043328,,4.901960784,,38779030.14,117494432.4,156273462.5,0.0506223,150185923,76131941.57,226317864.6,122779742.1,64705096.79,187484838.9,,
resnet50,10,8,70.66526826,194,2.314593749,0.0339,,densenet201,25,1,26.69117939,500,0.979154154,0.0381,,23539259,15030936,38570195,0.610296603,37014917,12208251,49223168,16494139,1727044,18221183,,0.388,,60668193.3,38739525.77,99407719.07,1.57292939,95399270.62,31464564.43,126863835.1,42510667.53,4451144.33,46961811.86,,
resnet50,10,8,72.63436584,359,4.283691326,0.0627,,densenet201,25,8,51.36274712,500,2.426094586,0.0496,,122597846,124322140,246919986,0.496508395,237911918,86226254,324138172,128140569,49681340,177821909,,0.718,,170749089.1,173150612.8,343899701.9,0.691515871,331353646.2,120092275.8,451445922,178468759.1,69194066.85,247662825.9,,
resnet50,10,8,73.88403188,500,5.533357366,0.081,,densenet201,25,16,85.16834035,430,3.413721975,0.0418,,131359341,265363338,396722679,0.331111247,384300761,195143217,579443978,272102348,144546326,416648674,,1.162790698,,112969033.3,228212470.7,341181503.9,0.284755673,330498654.5,167823166.6,498321821.1,234008019.3,124309840.4,358317859.6,,
resnet50,10,8,75.0827657,500,6.732091191,0.0985,,densenet201,25,32,146.3059191,255,8.319302294,0.0603,,186820181,577253926,764074107,0.244505316,735767874,372640926,1108408800,588447297,316571472,905018769,,1.960784314,,95278292.31,294399502.3,389677794.6,0.124697711,375241615.7,190046872.3,565288488,300108121.5,161451450.7,461559572.2,,
resnet50,10,8,71.01494496,164,2.66427045,0.039,,densenet201,50,1,22.70159125,500,-2.280416409,-0.0913,,23618096,15045852,38663948,0.610855777,37068764,12201701,49270465,16124930,1211766,17336696,,0.328,,72006390.24,45871500,117877890.2,1.862365174,113014524.4,37200307.93,150214832.3,49161371.95,3694408.537,52855780.49,,
