,,,,,,,,,,,,,,,,hit sum,miss sum,hit+miss sum,hit rate,l1 read from l2,l1 write to l2,l1 read+write from/to l2,l2 read from dram,l2 write to dram,l2 read+write from/to dram
vgg19,origin,,27.4591577
vgg19,10,1,29.42619113092837,115,1.967033430928371,0.07163487869580104,,mobilenet,10,1,6.5015729856491085,500,0.7341601756491087,0.12729454260256234,,2021923,2955048,4976971,0.406255733,4742612,3094102,7836714,3526137,650259,4176396,,0.23,,8790969.56521739,12848034.782608695,21639004.347826086,1.7663292739130434,20620052.173913043,13452617.391304348,34072669.56521739,15331030.434782607,2827213.0434782607,18158243.478260867
vgg19,10,1,29.081489354037167,356,1.6223316540371684,0.059081624853961505,,mobilenet,10,8,20.318539417266845,500,0.8891513472668429,0.045763219307958514,,11093898,22776914,33870812,0.327535637,32910564,20874532,53785096,24372805,12992906,37365711,,0.712,,15581317.415730339,31990047.75280899,47571365.16853933,0.4600219620786517,46222702.24719101,29318162.921348315,75540865.16853933,34231467.69662922,18248463.483146068,52479931.17977528
vgg19,10,1,28.804005039215088,500,1.3448473392150895,0.048976277929132894,,mobilenet,10,16,34.41389147594535,413,0.5703979759453475,0.016853992214052826,,18851231,47845660,66696891,0.282640326,65055313,41144094,106199407,50667425,31522588,82190013,,1.2106537530266344,,15571116.806,39520515.160000004,55091631.966,0.233460909276,53735688.538,33985021.644,87720710.182,41851293.050000004,26037657.688,67888950.738
vgg19,10,1,28.85662465286255,500,1.3974669528625512,0.050892564445359924,,mobilenet,10,32,62.812256669576186,226,0.34168518957618943,0.005469538399942127,,24128868,100916572,125045440,0.192960799,121729851,80305179,202035030,106027294,70266110,176293404,,2.2123893805309733,,10906248.336000001,45614290.544,56520538.88,0.087218281148,55021892.652,36297940.908,91319833.56,47924336.888000004,31760281.720000003,79684618.60800001
vgg19,10,1,29.39813559682746,95,1.9389778968274598,0.07061316002520572,,mobilenet,25,1,5.389774018287659,500,0.19355289528765862,0.03724877958540615,,2101877,2955048,5056925,0.415643301,4822791,3093477,7916268,3124990,611317,3736307,,0.19,,11062510.52631579,15552884.210526315,26615394.736842103,2.1875963210526317,25383110.52631579,16281457.894736841,41664568.421052635,16447315.789473685,3217457.8947368423,19664773.684210528
vgg19,10,1,30.172962733677455,147,2.713805033677456,0.09883060009803055,,mobilenet,25,8,8.593056764602661,500,0.5380596496026602,0.06679824237313338,,10260681,23747778,34008459,0.301709672,33069815,20856593,53926408,24623982,12632991,37256973,,0.294,,34900275.510204084,80774755.10204083,115675030.6122449,1.0262233741496598,112482363.94557823,70940792.5170068,183423156.46258503,83755040.81632653,42969357.14285714,126724397.95918368
vgg19,10,1,30.41418558962432,247,2.955027889624322,0.1076153872565553,,mobilenet,25,16,14.671941259384155,500,0.7313054393841547,0.05245854269681041,,16223788,50479016,66702804,0.243224977,64999170,41099302,106098472,51526576,31285129,82811705,,0.494,,32841676.113360323,102184242.91497976,135025919.02834007,0.49235825303643727,131577267.20647773,83196967.61133604,214774234.81781375,104304809.7165992,63330220.64777328,167635030.36437246
vgg19,10,1,30.46738651759906,449,3.0082288175990612,0.10955284391695166,,mobilenet,25,32,26.961903861999513,500,1.1549176419995142,0.044752131541205366,,21770914,103030464,124801378,0.1744445,121587800,80216963,201804763,105019033,70789926,175808959,,0.898,,24243779.51002227,114733256.1247216,138977035.63474387,0.19425890868596882,135398440.97995546,89328466.59242761,224726907.57238308,116947698.2182628,78830652.56124721,195778350.77951002
vgg19,10,1,29.623551226676778,94,2.164393526676779,0.07882228400169679,,mobilenet,50,1,5.371865982055664,500,0.240199446055664,0.04680729824718759,,2095118,2981840,5076958,0.412671919,4845070,3092578,7937648,3147172,493757,3640929,,0.188,,11144244.680851065,15860851.063829787,27005095.74468085,2.19506339893617,25771648.936170213,16449882.978723405,42221531.91489362,16740276.59574468,2626367.0212765955,19366643.617021278
vgg19,10,1,33.03002038892809,91,5.570862688928088,0.20287813449310896,,mobilenet,50,8,5.779613185882568,500,0.24978694488256803,0.045170848774698055,,9161675,24892654,34054329,0.269031141,33122957,20843324,53966281,25190489,12416375,37606864,,0.182,,50338873.62637363,136772824.17582417,187111697.8021978,1.4781930824175824,181994269.23076925,114523758.24175824,296518027.4725275,138409280.21978024,68221840.65934066,206631120.8791209
vgg19,10,1,35.765982641690016,138,8.306824941690017,0.30251565005907,,mobilenet,50,16,9.552919927597046,500,0.3244888555970462,0.03516186587572599,,15656851,50932060,66588911,0.235127002,64889056,41092411,105981467,51647160,30740500,82387660,,0.276,,56727721.01449275,184536449.2753623,241264170.28985506,0.8519094275362318,235105275.3623188,148885547.10144925,383990822.46376806,187127391.3043478,111378623.18840578,298506014.4927536
vgg19,10,1,36.81511845127229,248,9.355960751272292,0.3407227874026264,,mobilenet,50,32,17.887906421661377,500,1.0203730416613759,0.060493316875319905,,19881558,104563740,124445298,0.159761424,121276657,80186714,201463371,105646220,70891089,176537309,,0.496,,40083786.29032258,210813991.93548387,250897778.22580644,0.32209964516129036,244509389.11290324,161666762.0967742,406176151.2096774,212996411.29032257,142925582.66129032,355921993.9516129
vgg19,10,1,29.441517737603956,93,1.9823600376039572,0.07219303881283864,,mobilenet,75,1,5.268909699440003,500,0.18230104644000278,0.0358394087055399,,2062134,3061084,5123218,0.402507565,4887344,3091566,7978910,3192418,292451,3484869,,0.186,,11086741.935483871,16457440.860215053,27544182.795698926,2.164019166666667,26276043.01075269,16621322.58064516,42897365.59139785,17163537.6344086,1572317.2043010753,18735854.83870968
