,,,,,,,,,,,,,,,,,hit sum,miss sum,hit+miss sum,hit rate,l1 read from l2,l1 write to l2,l1 read+write from/to l2,l2 read from dram,l2 write to dram,l2 read+write from/to dram,,,,,,,,,,,,,,,
vgg19,10,8,179.2963705,100,6.368015244,0.0368,,densenet201,10,1,38.33021773,500,1.845100008,0.0506,,,22686222,15030936,37717158,0.601482805,36090672,12206520,48297192,17914337,1749389,19663726,,0.2,,113431110,75154680,188585790,3.007414026,180453360,61032600,241485960,89571685,8746945,98318630,,
vgg19,10,8,178.7990875,347,5.870732224,0.0339,,densenet201,10,8,126.0168026,500,7.091860028,0.0596,,,115208057,131754314,246962371,0.466500449,236851666,86330659,323182325,142264571,51697893,193962464,,0.694,,166005845.8,189847714.7,355853560.5,0.672190849,341284821.3,124395762.2,465680583.6,204992177.2,74492641.21,279484818.4,,
vgg19,10,8,179.827098,500,6.898742692,0.0399,,densenet201,10,16,198.8443798,459,11.85922857,0.0634,,,137691091,257830364,395521455,0.348125466,382472342,195536851,578009193,272706918,146807045,419513963,,1.089324619,,126400421.5,236688274.2,363088695.7,0.319579178,351109610,179502829.2,530612439.2,250344950.7,134768867.3,385113818,,
vgg19,10,8,179.6704921,73,6.742136794,0.039,,densenet201,25,1,28.66485109,500,2.952825853,0.1148,,,23539259,15030936,38570195,0.610296603,37014917,12208251,49223168,16494139,1727044,18221183,,0.146,,161227801.4,102951616.4,264179417.8,4.180113722,253526828.8,83618157.53,337144986.3,112973554.8,11829068.49,124802623.3,,
vgg19,10,8,182.6881048,135,9.759749513,0.0564,,densenet201,25,8,51.48627903,500,2.5496265,0.0521,,,122597846,124322140,246919986,0.496508395,237911918,86226254,324138172,128140569,49681340,177821909,,0.27,,454066096.3,460452370.4,914518466.7,1.838919982,881155251.9,319356496.3,1200511748,474594700,184004963,658599663,,
vgg19,10,8,184.3885319,225,11.4601766,0.0663,,densenet201,25,16,85.32221657,500,3.567598188,0.0436,,,131359341,265363338,396722679,0.331111247,384300761,195143217,579443978,272102348,144546326,416648674,,0.45,,291909646.7,589696306.7,881605953.3,0.735802771,854001691.1,433651593.3,1287653284,604671884.4,321214057.8,925885942.2,,
vgg19,10,8,177.8362197,500,4.907864427,0.0284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vgg19,10,8,180.4060051,57,7.477649756,0.0432,,densenet201,50,1,22.86615487,500,-2.115852795,-0.0847,,,23618096,15045852,38663948,0.610855777,37068764,12201701,49270465,16124930,1211766,17336696,,0.114,,207176280.7,131981157.9,339157438.6,5.358384009,325164596.5,107032464.9,432197061.4,141446754.4,10629526.32,152076280.7,,
vgg19,10,8,192.0660159,74,19.13766061,0.1107,,densenet201,50,8,31.10132201,500,0.45930629,0.015,,,129561256,117671768,247233024,0.524045105,239610816,86220044,325830860,119888543,48201829,168090372,,0.148,,875413891.9,795079513.5,1670493405,3.540845303,1618992000,582567864.9,2201559865,810057723,325688033.8,1135745757,,
vgg19,10,8,203.5123484,120,30.58399313,0.1769,,densenet201,50,16,51.29690878,500,2.045091733,0.0415,,,133274876,263570528,396845404,0.335835755,384992802,195227201,580220003,267587148,142844019,410431167,,0.24,,555311983.3,1098210533,1653522517,1.399315647,1604136675,813446670.8,2417583346,1114946450,595183412.5,1710129863,,
