resnet50,origin,,16.39901155,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,10,8,101.7741951,134,33.42352058,48.90%,,vgg19,90,8,26.73654041,500,3.069843135,12.97%,,,,,,,,,,,,,,
resnet50,10,8,118.3833979,157,50.03272341,73.20%,,vgg19,90,16,36.46292876,500,3.243027224,9.76%,,,,,,,,,,,,,,
resnet50,10,8,118.6430737,297,50.29239922,73.58%,,vgg19,90,32,69.30323647,500,6.074126435,9.61%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,origin,,110.6373858,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,10,16,115.1657481,129,4.528362264,4.09%,,vgg19,10,1,28.94149668,500,1.482338981,5.40%,,,,,,,,,,,,,,
resnet50,10,16,114.9446585,500,4.307272724,3.89%,,vgg19,10,8,179.5360729,312,6.607717602,3.82%,,,,,,,,,,,,,,
resnet50,10,16,115.1586425,500,4.521256656,4.09%,,vgg19,10,16,215.9016749,259,6.955699697,3.33%,,,,,,,,,,,,,,
resnet50,10,16,115.2505047,500,4.6131189,4.17%,,vgg19,10,32,413.8055963,131,18.08993557,4.57%,,,,,,,,,,,,,,
resnet50,10,16,120.5391502,49,9.90176436,8.95%,,vgg19,25,1,11.31634248,500,0.667905328,6.27%,,,,,,,,,,,,,,
resnet50,10,16,117.7047173,300,7.067331506,6.39%,,vgg19,25,8,69.17918303,500,2.419602039,3.62%,,,,,,,,,,,,,,
resnet50,10,16,118.8137744,361,8.176388562,7.39%,,vgg19,25,16,84.12969873,500,2.88112108,3.55%,,,,,,,,,,,,,,
resnet50,10,16,119.0976357,500,8.460249866,7.65%,,vgg19,25,32,161.2306468,362,5.241965255,3.36%,,,,,,,,,,,,,,
resnet50,10,16,136.7455133,25,26.10812751,23.60%,,vgg19,50,1,6.562204219,500,0.439665328,7.18%,,,,,,,,,,,,,,
resnet50,10,16,133.8300674,145,23.19268159,20.96%,,vgg19,50,8,38.02380635,500,2.355912671,6.61%,,,,,,,,,,,,,,
resnet50,10,16,141.6516493,175,31.01426346,28.03%,,vgg19,50,16,48.65920209,500,2.998324597,6.57%,,,,,,,,,,,,,,
resnet50,10,16,142.5512801,332,31.91389435,28.85%,,vgg19,50,32,92.81848114,500,5.49625374,6.29%,,,,,,,,,,,,,,
resnet50,10,16,151.019883,19,40.38249721,36.50%,,vgg19,75,1,5.506560907,500,0.38133213,7.44%,,,,,,,,,,,,,,
resnet50,10,16,149.9910581,102,39.35367225,35.57%,,vgg19,75,8,29.90089401,500,1.782014009,6.34%,,,,,,,,,,,,,,
resnet50,10,16,168.5921869,121,57.95480112,52.38%,,vgg19,75,16,39.9939241,500,2.451481243,6.53%,,,,,,,,,,,,,,
resnet50,10,16,169.6881189,228,59.05073312,53.37%,,vgg19,75,32,75.97070049,500,4.476149785,6.26%,,,,,,,,,,,,,,
resnet50,10,16,158.1102044,17,47.47281856,42.91%,,vgg19,90,1,5.20437728,500,0.792450224,17.96%,,,,,,,,,,,,,,
resnet50,10,16,162.2633313,85,51.62594553,46.66%,,vgg19,90,8,26.99920002,500,3.33250275,14.08%,,,,,,,,,,,,,,
