对应单独数据表的哪一列,,,,,,,W,X,W+X,AC,AD,AC+AD,
model name,bs,gpu resource,hit sum,miss sum,hit+miss sum,hit rate,l1 read from l2,l1 write to l2,l1 read+write from/to l2,l2 read from dram,l2 write to dram,l2 read+write from/to dram,real time
mobilenet,16,75,14222880,51621746,65844626,0.216006694,64229599,41074298,105303897,52100352,31230080,83330432,7.543048935
mobilenet,16,100,15083190,51421272,66504462,0.226799669,64795452,41068488,105863940,51722336,30485702,82208038,7.056399016
mobilenet,32,10,24128868,100916572,125045440,0.192960799,121729851,80305179,202035030,106027294,70266110,176293404,62.47057148
mobilenet,32,25,21770914,103030464,124801378,0.1744445,121587800,80216963,201804763,105019033,70789926,175808959,25.80698622
mobilenet,32,50,19881558,104563740,124445298,0.159761424,121276657,80186714,201463371,105646220,70891089,176537309,16.86753338
mobilenet,32,75,19114134,104921854,124035988,0.154101518,120885436,80163295,201048731,105621688,68979798,174601486,14.40444253
mobilenet,32,100,19209634,104746174,123955808,0.154971633,120811836,80147755,200959591,105660997,69838671,175499668,13.64500798
resnet50,1,10,20486247,10432186,30918433,0.66259008,29473422,8160521,37633943,11724546,1908729,13633275,16.39901155
resnet50,1,25,20360694,10420078,30780772,0.661474443,29342263,8161591,37503854,11034524,2544890,13579414,7.037413735
resnet50,1,50,20440884,10435956,30876840,0.66201347,29411863,8160122,37571985,10778172,1672831,12451003,6.423712325
resnet50,1,75,20064285,10425490,30489775,0.658066024,29067492,8158302,37225794,10798918,2525893,13324811,6.235333443
resnet50,1,100,20424417,10424542,30848959,0.662077998,29485030,8156097,37641127,10669942,2637324,13307266,5.84105279
resnet50,8,10,78037464,73705102,151742566,0.514275368,147002038,40934528,187936566,79375299,28824922,108200221,68.35067451
resnet50,8,25,80442524,70359174,150801698,0.533432482,146637361,40903337,187540698,72537863,30946365,103484228,27.79364286
resnet50,8,50,82404060,67213096,149617156,0.550766117,146020198,40888578,186908776,68519780,28262150,96781930,16.03730689
resnet50,8,75,83693624,65429980,149123604,0.561236597,145631639,40869733,186501372,66376286,30521368,96897654,13.19817828
resnet50,8,100,85736469,62983288,148719757,0.576496834,145526952,40870252,186397204,63669917,29692892,93362809,10.8069846
resnet50,16,10,96016020,164447210,260463230,0.368635604,249738293,98167435,347905728,173731192,83713010,257444202,110.6373858
resnet50,16,25,92082912,168176944,260259856,0.353811431,250893462,98075104,348968566,171320598,82789805,254110403,45.71981171
resnet50,16,50,94907165,163348138,258255303,0.367493577,250242058,98081889,348323947,165883679,82912752,248796431,27.63375874
resnet50,16,75,97683134,159159308,256842442,0.380323179,249587185,98045617,347632802,161023210,82380965,243404175,22.72001188
resnet50,16,100,100021405,156154160,256175565,0.390440849,249270908,98040826,347311734,157771225,81935784,239707009,20.38776258
resnet50,32,10,157130133,342727782,499857915,0.314349595,481567688,188756508,670324196,358885927,170590708,529476635,203.6976756
resnet50,32,25,149935072,348436376,498371448,0.300850044,480395140,188634328,669029468,354371337,169988031,524359368,83.10468872
resnet50,32,50,152234041,345602210,497836251,0.305791394,482130911,188591255,670722166,349426080,167875671,517301751,50.28016605
resnet50,32,75,153332709,342186084,495518793,0.309438736,480565824,188543451,669109275,345148692,169021805,514170497,42.03883453
resnet50,32,100,164107330,328952276,493059606,0.332834667,479690363,188262544,667952907,331348338,168018963,499367301,38.23993004
