,,,,,,,,,,,,,,,,hit sum,miss sum,hit+miss sum,hit rate,l1 read from l2,l1 write to l2,l1 read+write from/to l2,l2 read from dram,l2 write to dram,l2 read+write from/to dram,,,,,,,,,,,,,
vgg19,50,16,64.51284555,500,18.85196806,0.4129,,resnet50,50,32,69.34687028,473,19.06670423,0.379209253,,152234041,345602210,497836251,0.305791394,482130911,188591255,670722166,349426080,167875671,517301751,,1.057082452,,144013402.8,326939690.7,470953093.4,0.289278658,456095841.8,178407327.2,634503169,330557071.7,158810384.8,489367456.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vgg19,origin,,87.3222274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vgg19,50,32,90.3249445,119,3.002717104,0.0344,,resnet50,10,1,22.91254947,500,6.513537915,0.397190885,,20486247,10432186,30918433,0.66259008,29473422,8160521,37633943,11724546,1908729,13633275,,0.238,,86076668.07,43832714.29,129909382.4,2.783991933,123837907.6,34287903.36,158125810.9,49262798.32,8019869.748,57282668.07
vgg19,50,32,91.72839063,480,4.40616323,0.0505,,resnet50,10,8,89.53427893,500,21.18360442,0.309925316,,78037464,73705102,151742566,0.514275368,147002038,40934528,187936566,79375299,28824922,108200221,,0.96,,81289025,76776147.92,158065172.9,0.535703509,153127122.9,42640133.33,195767256.3,82682603.13,30025960.42,112708563.5
vgg19,50,32,92.81848114,500,5.49625374,0.0629,,resnet50,10,16,142.5512801,332,31.91389435,0.288454885,,96016020,164447210,260463230,0.368635604,249738293,98167435,347905728,173731192,83713010,257444202,,1.506024096,,63754637.28,109192947.4,172947584.7,0.244774041,165826226.6,65183176.84,231009403.4,115357511.5,55585438.64,170942950.1
vgg19,50,32,93.08324492,500,5.761017519,0.066,,resnet50,10,32,260.6171693,182,56.91949371,0.279431238,,157130133,342727782,499857915,0.314349595,481567688,188756508,670324196,358885927,170590708,529476635,,2.747252747,,57195368.41,124752912.6,181948281.1,0.114423252,175290638.4,68707368.91,243998007.3,130634477.4,62095017.71,192729495.1
vgg19,50,32,93.20841814,46,5.886190741,0.0674,,resnet50,25,1,10.00340744,500,2.965993701,0.421460754,,20360694,10420078,30780772,0.661474443,29342263,8161591,37503854,11034524,2544890,13579414,,0.092,,221311891.3,113261717.4,334573608.7,7.189939593,318937641.3,88712945.65,407650587,119940478.3,27661847.83,147602326.1
vgg19,50,32,97.430992,188,10.1087646,0.1158,,resnet50,25,8,38.02209119,500,10.22844833,0.368013951,,80442524,70359174,150801698,0.533432482,146637361,40903337,187540698,72537863,30946365,103484228,,0.376,,213942883,187125462.8,401068345.7,1.418703409,389992981.4,108785470.7,498778452.1,192919848.4,82304162.23,275224010.6
vgg19,50,32,100.9545589,304,13.63233152,0.1561,,resnet50,25,16,62.94410344,500,17.22429173,0.376735841,,92082912,168176944,260259856,0.353811431,250893462,98075104,348968566,171320598,82789805,254110403,,0.608,,151452157.9,276606815.8,428058973.7,0.581926695,412653720.4,161307736.8,573961457.2,281777299.3,136167442.4,417944741.8
vgg19,50,32,102.3612977,500,15.03907034,0.1722,,resnet50,25,32,114.3817434,455,31.27705469,0.376357281,,149935072,348436376,498371448,0.300850044,480395140,188634328,669029468,354371337,169988031,524359368,,1.098901099,,136440915.5,317077102.2,453518017.7,0.27377354,437159577.4,171657238.5,608816815.9,322477916.7,154689108.2,477167024.9
vgg19,50,32,95.37021317,31,8.04798577,0.0922,,resnet50,50,1,7.308607354,500,0.884895029,0.137754461,,20440884,10435956,30876840,0.66201347,29411863,8160122,37571985,10778172,1672831,12451003,,0.062,,329691677.4,168321871,498013548.4,10.67763662,474384887.1,131614871,605999758.1,173841483.9,26981145.16,200822629
vgg19,50,32,107.1690355,97,19.84680813,0.2273,,resnet50,50,8,22.3621293,500,6.324822405,0.394381828,,82404060,67213096,149617156,0.550766117,146020198,40888578,186908776,68519780,28262150,96781930,,0.194,,424763195.9,346459257.7,771222453.6,2.839000601,752681433,210765866,963447299,353194742.3,145681185.6,498875927.8
vgg19,50,32,117.865481,156,30.54325361,0.3498,,resnet50,50,16,38.57252708,500,10.93876834,0.395848007,,94907165,163348138,258255303,0.367493577,250242058,98081889,348323947,165883679,82912752,248796431,,0.312,,304189631.4,523551724.4,827741355.8,1.177864028,802057878.2,314365028.8,1116422907,531678458.3,265746000,797424458.3
vgg19,50,32,122.1407373,279,34.81850988,0.3987,,resnet50,50,32,70.08780437,500,19.80763832,0.393945364,,152234041,345602210,497836251,0.305791394,482130911,188591255,670722166,349426080,167875671,517301751,,0.558,,272820862,619358799.3,892179661.3,0.54801325,864033890.7,337977159.5,1202011050,626211612.9,300852457,927064069.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vgg19,origin,,5.125228777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vgg19,75,1,5.373690754,500,0.248461977,0.0485,,resnet50,10,1,24.64558142,112,8.246569866,0.502869935,,20486247,10432186,30918433,0.66259008,29473422,8160521,37633943,11724546,1908729,13633275,,4.464285714,,4588919.328,2336809.664,6925728.992,0.148420178,6602046.528,1827956.704,8430003.232,2626298.304,427555.296,3053853.6
vgg19,75,1,5.423691327,500,0.29846255,0.0582,,resnet50,10,8,94.90252228,30,26.55184777,0.388465044,,78037464,73705102,151742566,0.514275368,147002038,40934528,187936566,79375299,28824922,108200221,,16.66666667,,4682247.84,4422306.12,9104553.96,0.030856522,8820122.28,2456071.68,11276193.96,4762517.94,1729495.32,6492013.26
vgg19,75,1,5.506560907,500,0.38133213,0.0744,,resnet50,10,16,151.019883,19,40.38249721,0.364998657,,96016020,164447210,260463230,0.368635604,249738293,98167435,347905728,173731192,83713010,257444202,,26.31578947,,3648608.76,6248993.98,9897602.74,0.014008153,9490055.134,3730362.53,13220417.66,6601785.296,3181094.38,9782879.676
