,k1,k2,k3,k4,b,,
resnet50,-0.007230597,-8.832785546,1.001793657,-0.071280507,5.43508169,,MAE=5.4
,k1,k2,k3,k4,b,,
densenet201,0.000158933,0.194665089,0.236014659,1.479364445,24.10991917,,MAE = 6.46
,k1,k2,k3,k4,b,,
vgg19,0.000674027,-2.559769183,4.377814645,-0.862595178,-19.411298,,MAE = 3.51
